"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3481";"multipla";"Matemática";"Funções";"Zeros da função quadrática";"Médio";"Vestibular";"2024";"A função f(x) = x² - 9 tem zeros em:";"x = 3 e x = -3";"x = 9 e x = -9";"x = 3 apenas";"x = 0";"Não possui zeros reais";"a";"x² - 9 = 0 → x² = 9 → x = ±3. Diferença de quadrados: (x-3)(x+3)=0.";""
"3482";"multipla";"Física";"Eletricidade";"Energia elétrica";"Fácil";"Vestibular";"2024";"Um ferro de passar de 1000 W usado por 2 horas consome quantos kWh?";"2 kWh";"0,5 kWh";"20 kWh";"200 kWh";"0,2 kWh";"a";"E = P×t = 1 kW × 2 h = 2 kWh.";""
"3483";"multipla";"Química";"Ligações Químicas";"Ligação iônica";"Fácil";"Vestibular";"2024";"A ligação iônica se forma entre:";"Metal e ametal — por transferência de elétrons";"Dois ametais — por compartilhamento de elétrons";"Dois metais — por elétrons livres";"Metal e metal — por transferência de nêutrons";"Qualquer par de átomos com o mesmo elemento";"a";"Iônica: metal (baixa eletronegatividade, doa e⁻) + ametal (alta eletronegatividade, recebe e⁻) → cátion + ânion → atração eletrostática. Ex.: NaCl.";""
"3484";"multipla";"Biologia";"Imunologia";"Anticorpos";"Médio";"Vestibular";"2023";"Os anticorpos (imunoglobulinas) são produzidos por:";"Plasmócitos (linfócitos B diferenciados)";"Linfócitos T citotóxicos";"Macrófagos";"Neutrófilos";"Células NK";"a";"Linfócito B ativado por antígeno → diferencia-se em plasmócito → secreta anticorpos específicos para aquele antígeno. Anticorpos: IgG, IgM, IgA, IgE, IgD.";""
"3485";"multipla";"História";"História Geral";"Idade Média";"Médio";"Vestibular";"2023";"O sistema feudal na Europa medieval caracterizou-se pelo(a):";"Relação de suserania e vassalagem baseada na posse de terras e serviços militares";"Economia monetária e comércio internacional desenvolvido";"Forte poder centralizado em um Estado nacional";"Separação rígida entre Igreja e Estado";"Igualdade jurídica entre todos os membros da sociedade";"a";"Feudalismo: suserano cede feudo (terra) ao vassalo em troca de lealdade e serviço militar. Base agrária, descentralização política, servidão. Tríade: nobreza, clero, servos.";""
"3486";"multipla";"Geografia";"Geopolítica";"ONU e organismos internacionais";"Médio";"Vestibular";"2024";"O Conselho de Segurança da ONU tem poder de veto exercido por:";"Os 5 membros permanentes: EUA, Rússia, China, Reino Unido e França";"Todos os 193 países membros";"Os 10 membros rotativos eleitos";"Apenas os países com armas nucleares";"O Secretário-Geral da ONU";"a";"Conselho de Segurança: 5 membros permanentes (P5) com direito a veto + 10 membros não-permanentes rotativos (2 anos). O veto de qualquer P5 bloqueia qualquer resolução — crítica frequente ao funcionamento da ONU.";""
"3487";"multipla";"Português";"Gramática";"Vozes verbais";"Médio";"Vestibular";"2024";"'O ladrão foi preso pela polícia.' Esta frase está na voz:";"Passiva analítica";"Ativa";"Reflexiva";"Passiva sintética";"Recíproca";"a";"Voz passiva analítica: verbo ser/estar/ficar + particípio. O sujeito (ladrão) sofre a ação. Agente da passiva (pela polícia). Voz ativa seria: 'A polícia prendeu o ladrão.'";""
"3488";"multipla";"Filosofia";"Filosofia Oriental";"Confucionismo";"Médio";"Vestibular";"2023";"O confucionismo, fundamento filosófico da cultura chinesa, enfatiza:";"A harmonia social, a piedade filial e a moralidade do governante";"A libertação do desejo como caminho para o nirvana";"A resistência ao Estado e a valorização do indivíduo";"A acumulação de riqueza como virtude suprema";"O relativismo moral e a ausência de hierarquia";"a";"Confúcio (551-479 a.C.): ética social baseada em relações hierárquicas harmoniosas (governante-súdito, pai-filho, marido-mulher, irmão mais velho-mais novo, amigo-amigo). Virtude central: ren (benevolência/humanidade). Governante virtuoso → sociedade harmoniosa.";""
"3489";"multipla";"Sociologia";"Sociologia do Esporte";"Esporte e sociedade";"Fácil";"Vestibular";"2024";"Do ponto de vista sociológico, o esporte é considerado um fato social porque:";"Reflete e reproduz valores, tensões e desigualdades da sociedade";"É uma atividade puramente individual sem influência social";"Está completamente separado da política e da economia";"Só pode ser compreendido pelos praticantes";"Não tem relação com identidade nacional ou cultural";"a";"O esporte espelha a sociedade: competição (capitalismo), nacionalismo (Copa do Mundo), racismo no futebol, comercialização, desigualdade de gênero, doping como pressão por performance. Elias e Dunning: o esporte como espaço de 'excitação controlada'.";""
"3490";"multipla";"Literatura";"Poesia Contemporânea";"Adélia Prado";"Médio";"Vestibular";"2023";"A poesia de Adélia Prado é marcada pela:";"Fusão entre o cotidiano doméstico e o sagrado/místico";"Linguagem hermética e abstrata sem referências concretas";"Crítica política explícita ao regime ditatorial";"Valorização exclusiva da natureza amazônica";"Uso do romance histórico como forma poética";"a";"Adélia Prado (n. 1935, MG): poesia que eleva o cotidiano doméstico (cozinha, família, corpo feminino) à dimensão sagrada. Influência da fé católica e de Carlos Drummond. 'Bagagem' (1976): revelação poética tardia (40 anos). Frase célebre: 'Não sou feminista, sou poeta.'";""
