"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3356";"multipla";"Matemática";"Geometria Plana";"Área do triângulo";"Fácil";"Vestibular";"2024";"Um triângulo tem base 10 cm e altura 6 cm. Qual é sua área?";"30 cm²";"60 cm²";"16 cm²";"20 cm²";"48 cm²";"a";"Área do triângulo = (base × altura) / 2 = (10 × 6) / 2 = 30 cm².";""
"3357";"multipla";"Física";"Cinemática";"Movimento uniformemente variado";"Médio";"Vestibular";"2024";"Um carro parte do repouso com aceleração constante de 4 m/s². Qual sua velocidade após 5 segundos?";"20 m/s";"9 m/s";"25 m/s";"10 m/s";"16 m/s";"a";"v = v₀ + at = 0 + 4×5 = 20 m/s.";""
"3358";"multipla";"Química";"Estequiometria";"Mol e massa molar";"Médio";"Vestibular";"2023";"Quantos mols correspondem a 44 g de CO₂? (M: C=12, O=16)";"1 mol";"2 mol";"0,5 mol";"44 mol";"22 mol";"a";"M(CO₂) = 12 + 2×16 = 44 g/mol. n = m/M = 44/44 = 1 mol.";""
"3359";"multipla";"Biologia";"Ecologia";"Cadeias alimentares";"Fácil";"Vestibular";"2024";"Em uma cadeia alimentar: grama → gafanhoto → sapo → cobra → gavião. O sapo é classificado como:";"Consumidor secundário";"Produtor";"Consumidor primário";"Decomposto";"Consumidor terciário";"a";"Produtor: grama. Consumidor primário (1°): gafanhoto. Consumidor secundário (2°): sapo. O sapo é consumidor secundário.";""
"3360";"multipla";"História";"História do Brasil";"Proclamação da República";"Fácil";"Vestibular";"2023";"A Proclamação da República no Brasil ocorreu em:";"15 de novembro de 1889";"7 de setembro de 1822";"13 de maio de 1888";"22 de abril de 1500";"15 de novembro de 1891";"a";"A República foi proclamada em 15 de novembro de 1889, por Deodoro da Fonseca, encerrando o Segundo Reinado de Dom Pedro II.";""
"3361";"multipla";"Geografia";"Climatologia";"Tipos de clima no Brasil";"Médio";"Vestibular";"2024";"O clima equatorial úmido, característico da Amazônia, apresenta como marcas principais:";"Chuvas abundantes durante todo o ano e temperaturas elevadas";"Estações secas prolongadas e temperaturas moderadas";"Chuvas concentradas no inverno e verões secos";"Grandes amplitudes térmicas e precipitações escassas";"Verões quentes e úmidos com invernos frios e secos";"a";"Clima equatorial: elevada temperatura média (25-27°C), chuvas abundantes e bem distribuídas ao longo do ano (>1.500 mm/ano), pequena amplitude térmica.";""
"3362";"multipla";"Português";"Gramática";"Regência verbal";"Médio";"Vestibular";"2024";"Assinale a alternativa em que o verbo 'assistir' é empregado com regência correta no sentido de 'ver/presenciar':";"Assistimos ao jogo ontem.";"Assistimos o jogo ontem.";"Assistimos pelo jogo ontem.";"Assistimos com o jogo ontem.";"Assistimos no jogo ontem.";"a";"'Assistir' no sentido de 'presenciar' é verbo transitivo indireto e exige a preposição 'a': assistir a algo/alguém.";""
"3363";"multipla";"Filosofia";"Filosofia Moderna";"Empirismo de Hume";"Difícil";"Vestibular";"2023";"Para David Hume, todo conhecimento humano deriva de:";"Impressões sensíveis e ideias que são cópias enfraquecidas delas";"Ideias inatas presentes no espírito desde o nascimento";"A razão pura, independentemente da experiência";"Intuições intelectuais superiores aos sentidos";"Categorias a priori do entendimento";"a";"Hume (empirismo radical): todo conteúdo mental tem origem em impressões (percepções vívidas dos sentidos) ou em ideias (cópias mais fracas das impressões). Não há ideias inatas.";""
"3364";"multipla";"Sociologia";"Sociologia Clássica";"Durkheim e o fato social";"Médio";"Vestibular";"2024";"Segundo Durkheim, um fato social se caracteriza por ser:";"Exterior ao indivíduo, coercitivo e geral";"Interior à consciência e de caráter psicológico";"Produto da vontade individual de cada sujeito";"Criado conscientemente pelas instituições";"Relativo à cultura de cada grupo sem universalidade";"a";"Fato social (Durkheim): maneiras de agir, pensar e sentir externas ao indivíduo (exterioridade), que exercem coerção sobre ele e são gerais na sociedade.";""
"3365";"multipla";"Literatura";"Modernismo Brasileiro";"Semana de Arte Moderna de 1922";"Médio";"Vestibular";"2023";"A Semana de Arte Moderna de 1922 foi realizada em São Paulo e propunha:";"Ruptura com o academicismo e valorização da cultura nacional";"Retorno aos valores clássicos greco-romanos";"Imitação dos modelos europeus do Parnasianismo";"Exaltação da natureza americana ao estilo romântico";"Continuidade das tradições literárias lusitanas";"a";"A Semana de 22 marcou o início do Modernismo brasileiro: propunha liberdade de criação, ruptura com o Parnasianismo/Simbolismo, valorização da língua e cultura nacionais.";""
