"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"6401";"multipla";"Lingua Portuguesa";"Interpretacao de Texto";"Ideia principal";"Facil";"ENEM";"2023";"Na leitura de um texto, a ideia principal e aquela que:";"Sintetiza o tema central e e sustentada pelas demais informacoes do texto";"Aparece apenas na introducao";"E sempre explicita e nunca implicita";"Nao pode ser inferida";"Repete as palavras do titulo";"a";"A ideia principal condensa o sentido global do texto, podendo ser explicita ou inferida pelo leitor.";""
"6402";"multipla";"Lingua Portuguesa";"Interpretacao de Texto";"Inferencia";"Medio";"ENEM";"2022";"A inferencia em leitura consiste em:";"Deduzir informacoes implicitas a partir do contexto e conhecimento de mundo";"Copiar literalmente o texto";"Traduzir o texto para outra lingua";"Identificar apenas palavras desconhecidas";"Memorizar o texto integralmente";"a";"Inferir e ir alem do expresso: usar pistas do texto e o proprio repertorio para construir sentido.";""
"6403";"multipla";"Lingua Portuguesa";"Interpretacao de Texto";"Coesao referencial";"Medio";"ENEM";"2022";"O pronome na frase Joao comprou um carro. Ele e muito caro. substitui:";"O carro";"Joao";"A compra";"O preco";"Nenhum elemento anterior";"a";"Coesao referencial: o pronome ELE retoma o substantivo carro (anafora), garantindo coesao textual.";""
"6404";"multipla";"Lingua Portuguesa";"Generos Textuais";"Cronica";"Facil";"ENEM";"2023";"A cronica e um genero textual que se caracteriza por:";"Relato breve de situacoes do cotidiano com leveza e reflexao";"Texto longo e argumentativo sobre politica";"Descricao tecnica de fenomenos";"Narrativa de ficcao longa";"Texto normativo com linguagem juridica";"a";"Cronica: genero hibrido (narrativo/lirico), curto, sobre o cotidiano, publicado em jornais e revistas.";""
"6405";"multipla";"Lingua Portuguesa";"Generos Textuais";"Publicidade";"Facil";"ENEM";"2023";"Um texto publicitario tem como objetivo principal:";"Persuadir o receptor a adquirir um produto ou adotar um comportamento";"Informar objetivamente sobre fatos";"Narrar historias de ficcao";"Instruir procedimentos tecnicos";"Questionar o receptor filosoficamente";"a";"A publicidade usa linguagem apelativa, imagens e argumentos para persuadir e vender.";""
"6406";"multipla";"Lingua Portuguesa";"Funcoes da Linguagem";"Funcao referencial";"Facil";"ENEM";"2023";"A funcao referencial da linguagem centra-se no:";"Contexto, transmitindo informacoes objetivas";"Emissor, expressando sentimentos";"Receptor, convencendo-o";"Codigo, descrevendo-o";"Canal, mantendo o contato";"a";"Funcao referencial (ou denotativa): predomina em textos informativos e cientificos, voltada ao contexto.";""
"6407";"multipla";"Lingua Portuguesa";"Funcoes da Linguagem";"Funcao poetica";"Medio";"ENEM";"2022";"A funcao poetica da linguagem destaca:";"A propria mensagem, explorando efeitos esteticos da linguagem";"O emissor e suas emocoes";"O receptor";"O canal de comunicacao";"O codigo linguistico";"a";"Funcao poetica: o foco e na forma da mensagem - escolha de palavras, ritmo, sonoridade, figuras.";""
"6408";"multipla";"Lingua Portuguesa";"Figuras de Linguagem";"Ironia";"Medio";"ENEM";"2022";"Na frase Que servico excelente! Esperei 2 horas pelo atendimento., a figura de linguagem presente e:";"Ironia";"Eufemismo";"Litotes";"Hiperbole";"Personificacao";"a";"Ironia: dizer o contrario do que se pensa para criticar. Elogio aparente que na verdade critica o mau servico.";""
"6409";"multipla";"Lingua Portuguesa";"Figuras de Linguagem";"Hiperbole";"Facil";"ENEM";"2023";"A frase Ja te disse isso um milhao de vezes! exemplifica a figura de:";"Hiperbole";"Metafora";"Antitese";"Eufemismo";"Paradoxo";"a";"Hiperbole: exagero intencional para dar enfase - ninguem diz literalmente um milhao de vezes.";""
"6410";"multipla";"Lingua Portuguesa";"Figuras de Linguagem";"Eufemismo";"Facil";"ENEM";"2023";"Usar a expressao ele nos deixou no lugar de ele morreu e um exemplo de:";"Eufemismo";"Ironia";"Hiperbole";"Onomatopeia";"Paranomasia";"a";"Eufemismo: substituicao de expressao rude por outra mais suave para amenizar o impacto.";""
"6411";"multipla";"Lingua Portuguesa";"Variacao Linguistica";"Registro formal e informal";"Facil";"ENEM";"2023";"A variacao linguistica que ocorre de acordo com a situacao de comunicacao (formal ou informal) e chamada de:";"Diafasica (ou de registro)";"Diatopica (regional)";"Diacronica (historica)";"Diastratica (social)";"Diatecnica";"a";"Variacao diafasica: adaptar o uso da lingua ao contexto (trabalho=formal, amigos=informal).";""
"6412";"multipla";"Lingua Portuguesa";"Coesao e Coerencia";"Conectivos";"Medio";"ENEM";"2022";"O conectivo PORTANTO indica, entre os enunciados que liga, uma relacao de:";"Conclusao";"Oposicao";"Condicao";"Adicao";"Causa";"a";"PORTANTO (logo, dessa forma) liga uma conclusao a premissas anteriores.";""
"6413";"multipla";"Lingua Portuguesa";"Coesao e Coerencia";"Coerencia textual";"Medio";"ENEM";"2022";"A coerencia textual refere-se a:";"Unidade de sentido e nao contradicao das ideias ao longo do texto";"Uso correto da gramatica";"Presenca de conectivos";"Organizacao em paragrafos";"Ausencia de metaforas";"a";"Coerencia: logica e harmonia de sentido entre as partes do texto. Difere de coesao (formal).";""
"6414";"multipla";"Lingua Portuguesa";"Pontuacao";"Virgula e sentido";"Medio";"ENEM";"2022";"A virgula altera o sentido em: O professor disse o aluno errou vs O professor, disse o aluno, errou. No segundo, quem errou?";"O professor (o aluno relata que o professor errou)";"O aluno";"Ambos erraram";"Ninguem errou";"O sentido e identico";"a";"A virgula isola o aluno disse como inciso, indicando que o aluno e o narrador e o professor e quem errou.";""
"6415";"multipla";"Lingua Portuguesa";"Concordancia";"Concordancia verbal";"Medio";"ENEM";"2022";"Na frase Fazem dez anos que nao o vejo., o verbo fazer no sentido de tempo decorrido deve ser:";"Impessoal - uso correto no singular: Faz dez anos";"Plural para concordar com dez anos";"No passado composto";"Substituido pelo verbo ter";"Acompanhado de sujeito";"a";"Fazer indicando tempo decorrido e verbo impessoal: Faz dez anos (singular), nao fazem.";""
"6416";"multipla";"Lingua Portuguesa";"Regencia";"Crase";"Medio";"ENEM";"2022";"O uso correto do acento grave (crase) ocorre em:";"Fui a cidade (a+a artigo = a cidade feminina: a cidade)";"Fui a Pedro";"Fui a praias";"Refiro-me a isso";"Entreguei a ela";"a";"Crase: fusao da preposicao a com o artigo a. Usa-se antes de substantivos femininos precedidos de artigo.";""
"6417";"multipla";"Literatura";"Escolas Literarias";"Barroco";"Medio";"ENEM";"2022";"O Barroco literario (sec. XVII) caracteriza-se pelo conflito entre:";"Fe e razao, corpo e alma, mundo terreno e divino";"Razao e sentimento apenas";"Romantismo e classicismo";"Campo e cidade";"Passado e futuro";"a";"O Barroco reflete a crise espiritual do sec. XVII: tensao entre fe religiosa e o humanismo renascentista.";""
"6418";"multipla";"Literatura";"Escolas Literarias";"Romantismo";"Facil";"ENEM";"2023";"O Romantismo brasileiro no seculo XIX valorizava principalmente:";"O nacionalismo, a natureza, o indio e os sentimentos";"A razao e a objetividade";"O proletariado e a industria";"A descricao cientifica";"O universalismo classico";"a";"O Romantismo brasileiro (1836-1881) exaltou a patria, o indio como heroi, a natureza e o subjetivismo.";""
"6419";"multipla";"Literatura";"Escolas Literarias";"Realismo";"Medio";"ENEM";"2022";"O Realismo/Naturalismo (fin do sec. XIX) na literatura brasileira tem como principal nome:";"Machado de Assis (Realismo) e Eca de Queiros e Azevedo (Naturalismo)";"Jose de Alencar";"Castro Alves";"Carlos Drummond de Andrade";"Guimaraes Rosa";"a";"O Realismo (1880) critica a sociedade burguesa. Machado de Assis e o maior nome brasileiro; Azevedo no Naturalismo.";""
"6420";"multipla";"Literatura";"Escolas Literarias";"Modernismo brasileiro";"Facil";"ENEM";"2023";"A primeira fase do Modernismo brasileiro (1922-1930) tem como marco:";"A Semana de Arte Moderna de 1922 em Sao Paulo";"A publicacao de Memorias Postumas de Bras Cubas";"A morte de Euclides da Cunha";"A revolucao de 1930";"A publicacao de Iracema";"a";"A Semana de 22 rompeu com o academicismo e inaugurou o Modernismo, buscando linguagem e temas brasileiros.";""
"6421";"multipla";"Literatura";"Vanguardas Europeias";"Surrealismo";"Medio";"ENEM";"2022";"O Surrealismo europeu caracteriza-se por:";"Explorar o inconsciente, sonhos e o irracional como fontes de criacao artistica";"Celebrar a industria e a tecnologia";"Usar versos metrificados classsicos";"Negar qualquer forma de arte";"Retratar o cotidiano operario";"a";"O Surrealismo (Andre Breton, 1924) valoriza o sonho, o inconsciente freudiano e a liberdade criativa total.";""
"6422";"multipla";"Literatura";"Vanguardas Europeias";"Futurismo";"Medio";"ENEM";"2022";"O Futurismo, de Marinetti (1909), exaltava:";"A velocidade, a tecnologia, as maquinas e a ruptura com o passado";"A natureza e a arte pastoral";"O retorno a antiguidade classica";"A introspeccao e o inconsciente";"A permanencia das tradicoes";"a";"O Futurismo celebrava o progresso, as maquinas, os carros e rompeu com as tradicoes artisticas.";""
"6423";"multipla";"Literatura";"Analise de Poemas";"Versificacao";"Medio";"ENEM";"2022";"A rima entre versos em ABAB e chamada de rima:";"Alternada (ou cruzada)";"Emparelhada (AABB)";"Interpolada (ABBA)";"Toante";"Rica";"a";"ABAB = rima alternada/cruzada. AABB = emparelhada. ABBA = interpolada ou abraco.";""
"6424";"multipla";"Literatura";"Analise de Narrativas";"Narrador";"Facil";"ENEM";"2023";"O narrador-personagem (1a pessoa) na narrativa e aquele que:";"Participa da historia e conta a propria experiencia";"Sabe tudo sobre todos os personagens";"Nao aparece na historia";"Narra em terceira pessoa";"E o proprio autor";"a";"Narrador em 1a pessoa: conta da sua perspectiva limitada. Narrador observador: 3a pessoa limitada.";""
"6425";"multipla";"Artes";"Movimentos artisticos";"Impressionismo";"Medio";"ENEM";"2022";"O Impressionismo (fin do sec. XIX) revolucionou a pintura ao:";"Capturar a luz e o instante fugaz, com pinceladas soltas e cores vibrantes";"Retratar cenas religiosas com perfeicao anatomica";"Usar linhas geometricas precisas";"Pintar apenas retratos de nobres";"Negar a representacao da natureza";"a";"Monet, Renoir: Impressionismo captura a luz natural e impressoes visuais, nao o realismo fotografico.";""
