"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3581";"multipla";"Matemática";"Geometria Plana";"Áreas e Perímetros";"Médio";"Vestibular";"2024";"Um retângulo tem base 12 cm e altura 5 cm. Qual é a medida de sua diagonal?";"13 cm";"17 cm";"10 cm";"15 cm";"11 cm";"a";"Pela relação de Pitágoras: d² = 12² + 5² = 144 + 25 = 169, logo d = 13 cm.";""
"3582";"multipla";"Física";"Termodinâmica";"Lei Zero e Temperatura";"Fácil";"Vestibular";"2024";"Uma substância se encontra a 300 K. Qual é essa temperatura em graus Celsius?";"27 °C";"300 °C";"573 °C";"-27 °C";"127 °C";"a";"A conversão é T(°C) = T(K) − 273. Logo, 300 − 273 = 27 °C.";""
"3583";"multipla";"Química";"Eletroquímica";"Pilha de Daniell";"Difícil";"Vestibular";"2024";"Em uma pilha de Daniell (Zn|Zn²⁺||Cu²⁺|Cu), qual eletrodo sofre oxidação?";"Zinco (ânodo)";"Cobre (ânodo)";"Zinco (cátodo)";"Cobre (cátodo)";"Ambos sofrem oxidação";"a";"Na pilha de Daniell, o zinco é o ânodo: perde elétrons (oxidação). O cobre é o cátodo: ganha elétrons (redução).";""
"3584";"multipla";"Biologia";"Genética";"Herança Ligada ao Sexo";"Difícil";"Vestibular";"2024";"Uma mulher portadora de hemofilia (X^H X^h) casa-se com um homem normal (X^H Y). Qual a probabilidade de um filho homem ser hemofílico?";"50%";"25%";"100%";"0%";"75%";"a";"Os filhos homens recebem o Y do pai e X da mãe (50% X^H e 50% X^h). Logo, 50% dos filhos homens serão X^h Y (hemofílicos).";""
"3585";"multipla";"História";"Brasil República";"Era Vargas";"Médio";"Vestibular";"2024";"O Estado Novo (1937–1945) foi um período de ditadura no Brasil. Qual documento marcou seu início?";"Constituição de 1937 (Polaca)";"Constituição de 1891";"Ato Institucional nº 5";"Carta de 1988";"Manifesto dos Tenentes";"a";"Vargas outorgou a Constituição de 1937 (apelidada de 'Polaca' por inspiração fascista) para instaurar o Estado Novo, centralizando o poder e fechando o Congresso.";""
"3586";"multipla";"Geografia";"Geopolítica";"Blocos Econômicos";"Fácil";"Vestibular";"2024";"O MERCOSUL é um bloco econômico formado, entre outros países, por Brasil, Argentina, Uruguai e Paraguai. Qual é o seu principal objetivo?";"Integração econômica e livre comércio regional";"Defesa militar conjunta";"Unificação política dos países-membros";"Controle da produção de petróleo";"Gestão ambiental da Amazônia";"a";"O MERCOSUL visa a integração econômica com livre circulação de bens, serviços e fatores produtivos entre os países-membros da América do Sul.";""
"3587";"multipla";"Língua Portuguesa";"Literatura Brasileira";"Romantismo";"Médio";"Vestibular";"2024";"José de Alencar é considerado o principal romancista do Romantismo brasileiro. Qual obra indianista lhe é atribuída?";"O Guarani";"Dom Casmurro";"Memórias Póstumas de Brás Cubas";"A Moreninha";"Iracema Pires";"a";"'O Guarani' (1857) é a obra mais célebre de José de Alencar, retratando o índio Peri e seu amor pela branca Ceci — símbolo do Indianismo romântico.";""
"3588";"multipla";"Filosofia";"Ética";"Utilitarismo";"Médio";"Vestibular";"2024";"Para John Stuart Mill, o critério de moralidade de uma ação é:";"A quantidade e qualidade de felicidade que produz para o maior número";"A conformidade com o dever moral absoluto";"A virtude do agente que a pratica";"A vontade divina expressa nas escrituras";"O contrato social estabelecido pela maioria";"a";"Mill refinou o utilitarismo de Bentham introduzindo qualidades de prazer. A ação correta é aquela que produz maior felicidade (utilidade) para o maior número de pessoas.";""
"3589";"multipla";"Sociologia";"Teorias Sociológicas";"Funcionalismo";"Médio";"Vestibular";"2024";"Émile Durkheim defendia que os fatos sociais devem ser tratados:";"Como coisas, com objetividade científica";"Como expressões da consciência individual";"Como resultado das forças econômicas";"Como manifestações da vontade divina";"Como construções puramente subjetivas";"a";"Durkheim propôs tratar os fatos sociais 'como coisas', ou seja, com objetividade e método científico, separando a sociologia da filosofia e da psicologia individual.";""
"3590";"multipla";"Matemática";"Funções";"Função Logarítmica";"Difícil";"Vestibular";"2024";"Calcule log₂ 64.";"6";"8";"4";"32";"5";"a";"log₂ 64 = x significa 2^x = 64 = 2^6, portanto x = 6.";""
"3591";"multipla";"Física";"Óptica";"Reflexão e Espelhos";"Médio";"Vestibular";"2024";"Um espelho côncavo com foco em f = 20 cm recebe um objeto a 40 cm. Onde se forma a imagem?";"40 cm à frente do espelho (real e invertida)";"20 cm atrás do espelho (virtual)";"Infinito";"10 cm à frente";"80 cm atrás";"a";"Equação de Gauss: 1/f = 1/p + 1/p'. Com f=20 e p=40: 1/20 = 1/40 + 1/p' → 1/p' = 1/20 - 1/40 = 1/40 → p' = 40 cm. Imagem real e invertida.";""
"3592";"multipla";"Química";"Química Orgânica";"Álcoois";"Fácil";"Vestibular";"2024";"O grupo funcional característico dos álcoois é:";"Hidroxila (–OH) ligada a carbono saturado";"Carbonila (C=O) terminal";"Carboxila (–COOH)";"Amina (–NH₂)";"Éter (–O–)";"a";"Álcoois possuem o grupo –OH (hidroxila) ligado a carbono sp³ (saturado). Não confundir com fenóis (–OH ligado a anel aromático).";""
