"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"JSON_118";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"[QUESTÃO COM IMAGEM - revisão manual necessária]";"30 ms.";"70 ms.";"300 ms.";"400 ms.";"700 ms.";"b";""
"JSON_119";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"[QUESTÃO COM IMAGEM - revisão manual necessária]";"água.";"vinagre.";"óleo de soja.";"sal de cozinha.";"bicarbonato de sódio. CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS | 2º DIA | CADERNO 002200112255AAMM..iinnddbb 1111";"b";""
"JSON_120";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"O aquecimento em fogões por indução utiliza bobinas para produzir um campo magnético variável. Essa bobina se localiza abaixo do vidro cerâmico sobre o qual a panela se apoia. O mecanismo aquece apenas a panela que se encontra na zona de cozimento, o que é uma das principais vantagens em relação a ao uso do fogão a gás ou de resistência elétrica. PEREIRA, A. B. et al. Fogões de indução: montagem e testes de um circuito disponível. Disponível em: https://publicacoes.fatecsertaozinho.edu.br. Acesso em: 21 maio 2025 (adaptado). O uso do campo magnético variável tem a finalidade de";"imantar o material da panela por indução.";"movimentar os átomos de ferro concentrados no fundo da panela.";"emitir radiação eletromagnética, aquecendo a panela através do vidro cerâmico.";"induzir corrente elétrica na parte inferior da panela, aquecendo-a por efeito Joule.";"gerar um fluxo de corrente de convecção no ar contido entre a região da bobina e o vidro cerâmico.";"d";""
"JSON_122";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"As cangas são ambientes resultantes da atuação, ao longo de milhões de anos, de chuvas, enxurradas, calor e ventos rochas ricas em ferro. São compostas por até 90% de óxidos de ferro e contêm solos muito ácidos, rasos, com reduzidos índices de fertilidade e temperaturas que atingem quase 70 na superfície. Ao contrário do que se imagina, esse tipo ambiente abriga comunidades de plantas e animais com elevado número de espécies e distribuição restrita. CARMO, F. F. et al. Ilhas de ferro estratégicas para a conservação. Disponível em: http://cienciahoje.org.br. Acesso em: 2 dez. 2018 (adaptado).";"exóticas.";"migratórias.";"endêmicas.";"dominantes.";"generalistas.";"c";""
"JSON_123";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"Para a produção de titânio metálico ou dióxido de titânio puros, é necessário fazer a cloração do minério que contém dióxido de titânio, com o objetivo de separar esse óxido outras substâncias presentes no minério. A principal reação química de cloração é representada por: TiO (s) + 2 Cl (g) TiCl (g) + O (g) ΔH = +175 kJ/mol 2 2 4 2 Depois da cloração, o tetracloreto de titânio é condensado e convertido, novamente, a dióxido de titânio. Após o sistema atingir o equilíbrio químico, como a formação do TiCl pode ser favorecida? 4";"Aumentando a pressão total do sistema.";"Diminuindo a temperatura do sistema.";"Aumentando a pressão parcial de O . 2";"Aumentando a pressão parcial de Cl . 2";"Variando a quantidade de TiO . 2";"d";""
"JSON_124";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"[QUESTÃO COM IMAGEM - revisão manual necessária]";"0,16 m.";"0,50 m.";"0,80 m.";"1,60 m.";"8,00 m. CIÊNCIAS 12 002200112255AAMM..iinnddbb 1122";"c";""
"JSON_125";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"Em uma comunidade rural, os moradores utilizam uma bomba-d’água alimentada por 100 V de tensão contínua, em podendo variar em até 5 V. Um eletrotécnico pretende instalar placas fotovoltaicas para alimentar essa bomba. As placas são °°C idênticas e cada uma apresenta tensão de operação igual a 34 V com corrente de 7,5 A. Além disso, cada placa apresenta de 40 V de tensão elétrica, quando em circuito aberto. Assim, considerando que a placa descrita é um gerador não ideal, em circuito aberto ela pode ser representada conforme a figura: O eletrotécnico construiu um circuito que permite à bomba-d’água operar corretamente com o menor número possível de placas conectadas. Para isso, desenhou um diagrama no qual todas essas placas são representadas como um único gerador não ideal, com a especificação das correspondentes características elétricas. O diagrama que representa o circuito construído pelo eletrotécnico é: de";"B";"[ver original]";"de até um";"que";"DA NATUREZA E SUAS TECNOLOGIAS | 2º DIA | CADERNO 5 | AMARELO 2244//0077//22002255 1199::0022::0066";"b";""
"JSON_126";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"Objetos de prata escurecem em contato com compostos contendo enxofre por causa da formação de uma fina camada de sulfeto de prata. Um método simples para clarear o objeto consiste em forrar um recipiente com papel alumínio, adicionar ao recipiente uma solução aquosa de cloreto de sódio enfim, mergulhar o objeto de prata enegrecido. Em cerca de três minutos, a prata volta à coloração original. As seguintes semirreações e os respectivos potenciais-padrão de redução são úteis para a compreensão dos fenômenos ocorridos. Ag S (s) + 2 e− → 2 Ag (s) + S2− (aq) −0,69 V 2 + H+ + e− → +1,23 O (g) 4 (aq) 4 2 H O (l) V 2 2 Al3+ e− (aq) + 3 → Al (s) −1,68 V SARTORI, E. R.; BATISTA, E. F.; FATIBELLO-FILHO, O. Escurecimento e limpeza de objetos de prata: um experimento simples e de fácil execução envolvendo reações de oxidação-redução. Química Nova na Escola, n. 30, 2008 (adaptado). Os valores das diferenças de potencial-padrão das reações que representam o escurecimento e o clareamento do objeto de prata são, respectivamente:";"+0,54 V e +2,37 V.";"+1,92 +0,99 V e V.";"−0,15 V e +5,43 V.";"+2,61 V e +1,29 V.";"+0,15 −1,29 V e V.";"b";""
"JSON_127";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"Apaixonada por culinária e química, uma chefe de cozinha calculou que, para promover o crescimento adequado da massa durante o cozimento de um bolo a 180 °°C (453 K) 1,00 atm, ela precisaria utilizar uma quantidade de fermento químico suficiente para produzir um volume de gás igual 4,00 L. Com esse objetivo, ela escolheu utilizar o bicarbonato de amônio, um composto que, sob aquecimento, degrada-se em três gases distintos, que são os responsáveis pelo crescimento da massa. A decomposição do bicarbonato de amônio ocorre conforme a equação química apresentada e, nas condições do cozimento, seu rendimento é de 80%. NH HCO (s) → NH (g) + CO (g) + H O (g) 4 3 3 2 2 Considere que a mistura dos gases se comporta como gás ideal nas condições de cozimento utilizadas pela chefe. Dados: Massa molar do NH HCO = 79 g ⋅ mol−1 4 3 R = 0,082 atm ⋅ L ⋅ mol−1 ⋅ K−1.";"2,3 g.";"3,5 g.";"5,9 g.";"6,8 g.";"8,9 g. CIÊNCIAS DA NATUREZA E SUAS TECNOLOGIAS | 2º DIA | CADERNO 002200112255AAMM..iinnddbb 1133";"b";""
"JSON_128";"multipla";"Português";"ENEM — Questão Oficial";"";"Médio";"2025_PV_impresso_D2_CD5.pdf";"2024";"15";"Segundo o princípio da independência dos movimentos, de Galileu, sempre que a velocidade resultante de um corpo puder ser decomposta em duas ou mais componentes perpendiculares entre si, cada um desses movimentos poderá ser analisado e, separadamente como se os outros não existissem. Esse princípio é muito útil para a simplificação de alguns problemas reais, em três dimensões. Considere um avião que, ao decolar, é instruído pela torre a atingir, em 6 minutos, uma posição de 20 km a Leste, 20 km a Norte e 1 km de altitude em relação ao ponto de decolagem, conforme a figura (fora de escala). No entanto, no instante da decolagem, começa a soprar um vento cujo vetor velocidade tem componentes 30 km/h para Leste, 20 km/h para Sul e 1 km/h de cima para baixo. Durante a ação do vento, a velocidade v que o piloto deve estabelecer em relação ao ar para que o avião chegue à posição esperada no tempo indicado tem as componentes e";"230 km/h para Leste, 180 km/h para Sul e 9 km/h para baixo. a";"230 km/h para Leste, 180 km/h para Norte e 9 km/h para cima.";"200 km/h para Oeste, 200 km/h para Norte e 10 km/h para cima.";"170 km/h para Leste, 220 km/h para Norte e 11 km/h para cima.";"170 km/h para Leste, 180 km/h para Norte e 11 km/h para cima. e 5 | AMARELO 13 2244//0077//22002255 1199::0022::0066";"d";""
