"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"4860";"multipla";"Matematica";"Algebra";"Inequacao com modulo";"Dificil";"Vestibular";"2024";"A solucao de |x - 3| < 2 e:";"1 < x < 5";"x < 1 ou x > 5";"-2 < x < 2";"x < 5";"1 <= x <= 5";"a";"|x-3| < 2 significa -2 < x-3 < 2, somando 3: 1 < x < 5.";""
"4861";"multipla";"Matematica";"Geometria Plana";"Quadrilatero ciclico";"Dificil";"Vestibular";"2024";"Em um quadrilatero ciclico (inscrito em circunferencia), angulos opostos somam:";"180 graus";"90 graus";"360 graus";"270 graus";"120 graus";"a";"Teorema: em um quadrilatero ciclico, cada par de angulos opostos e suplementar (soma = 180 graus).";""
"4862";"multipla";"Matematica";"Calculo";"Integral definida";"Dificil";"Vestibular";"2024";"A integral definida de 0 a 2 de x dx vale:";"2";"4";"1";"0";"8";"a";"Integral de x dx = x^2/2 + C. Avaliando de 0 a 2: [2^2/2] - [0^2/2] = 4/2 - 0 = 2.";""
"4863";"multipla";"Matematica";"Probabilidade";"Distribuicao normal";"Dificil";"Vestibular";"2024";"Na distribuicao normal, a curva e simetrica em relacao a:";"Media";"Mediana apenas";"Moda apenas";"Variancia";"Desvio padrao";"a";"Na distribuicao normal, media = mediana = moda e a curva e perfeitamente simetrica em torno da media. 68% dos dados estao entre (media - DP) e (media + DP).";""
"4864";"multipla";"Matematica";"Funcoes";"Funcao modular - grafico";"Medio";"Vestibular";"2024";"O grafico da funcao f(x) = |x| tem formato de:";"V (duas retas que formam angulo)";"U (parabola)";"Reta horizontal";"Reta diagonal";"Hiperbole";"a";"O grafico de f(x) = |x| forma uma figura em V: para x>=0, e a reta y=x; para x<0, e a reta y=-x. O vertice e na origem (0,0).";""
"4865";"multipla";"Matematica";"Geometria Espacial";"Secao de uma esfera";"Dificil";"Vestibular";"2024";"Qualquer secao plana de uma esfera e sempre:";"Uma circunferencia (ou ponto)";"Uma elipse";"Um quadrado";"Um poligono";"Uma hiperbole";"a";"Toda secao plana de uma esfera e sempre uma circunferencia (caso geral) ou um ponto (plano tangente). A secao maxima (diametral) e chamada de circulo maximo.";""
"4866";"multipla";"Matematica";"Trigonometria";"Equacoes trigonometricas";"Dificil";"Vestibular";"2024";"As solucoes de cos(x) = 0 no intervalo [0, 2pi] sao:";"pi/2 e 3pi/2";"0 e pi";"pi/4 e 3pi/4";"pi/3 e 2pi/3";"pi/6 e 5pi/6";"a";"cos(x) = 0 quando x = pi/2 + k*pi. No intervalo [0, 2pi]: x = pi/2 (90 graus) e x = 3pi/2 (270 graus).";""
"4867";"multipla";"Matematica";"Analise Combinatoria";"Combinacao com repeticao";"Dificil";"Vestibular";"2024";"O numero de formas de escolher 2 frutas dentre 4 tipos (com repeticao permitida) e:";"10";"6";"12";"8";"16";"a";"Combinacao com repeticao: CR(n,p) = C(n+p-1, p) = C(4+2-1, 2) = C(5,2) = 10.";""
"4868";"multipla";"Matematica";"Matrizes";"Transposta";"Facil";"Vestibular";"2024";"A transposta de uma matriz A e obtida:";"Trocando linhas por colunas";"Invertendo os sinais dos elementos";"Multiplicando por -1";"Somando a identidade";"Calculando o determinante";"a";"A transposta A^T de uma matriz A e obtida trocando linhas por colunas: o elemento a_ij de A vai para a posicao a_ji de A^T.";""
"4869";"multipla";"Matematica";"Geometria Analitica";"Hiperbole";"Dificil";"Vestibular";"2024";"A hiperbole x^2/9 - y^2/16 = 1 tem eixo real ao longo do eixo:";"x (horizontal)";"y (vertical)";"z (profundidade)";"Diagonal";"Nao tem eixo definido";"a";"Na hiperbole x^2/a^2 - y^2/b^2 = 1, o eixo real (transverso) e o eixo x (horizontal), com vertices em (+a, 0) e (-a, 0).";""
"4870";"multipla";"Fisica";"Mecanica";"Mola e lei de Hooke";"Medio";"Vestibular";"2024";"Uma mola com constante elastica k = 500 N/m e comprimida 0,04 m. A forca elastica e:";"20 N";"12.500 N";"0,08 N";"500 N";"2 N";"a";"Lei de Hooke: F = k*x = 500 * 0,04 = 20 N.";""
"4871";"multipla";"Fisica";"Eletricidade";"Ligacao de pilhas";"Medio";"Vestibular";"2024";"Duas pilhas de 1,5 V ligadas em serie produzem uma tensao total de:";"3 V";"1,5 V";"0,75 V";"6 V";"4,5 V";"a";"Pilhas em serie: as tensoes se somam. 1,5 + 1,5 = 3 V. Em paralelo, a tensao seria igual a uma pilha (1,5 V) mas a corrente aumentaria.";""
"4872";"multipla";"Fisica";"Termodinamica";"Dilatacao volumetrica";"Medio";"Vestibular";"2024";"O coeficiente de dilatacao volumetrica (y) de um solido se relaciona ao coeficiente linear (a) por:";"y = 3a";"y = a";"y = 2a";"y = a/3";"y = a^3";"a";"Para solidos isotropicos, o coeficiente de dilatacao volumetrica e aproximadamente 3 vezes o coeficiente linear: y ≈ 3a. Analogamente, o coeficiente superficial ≈ 2a.";""
"4873";"multipla";"Fisica";"Ondas";"Frequencia e periodo";"Facil";"Vestibular";"2024";"A relacao entre frequencia (f) e periodo (T) e:";"f = 1/T";"f = T";"f = T^2";"f = 2*T";"f = T/2";"a";"Frequencia e o numero de oscilacoes por segundo (Hz = 1/s). Periodo e o tempo de uma oscilacao (s). Relacao: f = 1/T ou T = 1/f.";""
"4874";"multipla";"Fisica";"Optica";"Prismas";"Medio";"Vestibular";"2024";"Um prisma de vidro decompoe a luz branca em suas cores (espectro) porque:";"Cada cor tem comprimento de onda diferente e se refrata em angulo diferente";"O vidro absorve certas cores";"Ocorre reflexao total interna";"O vidro emite luz propria";"Ocorre interferencia das ondas";"a";"A dispersao da luz ocorre porque cada frequencia (cor) tem velocidade levemente diferente no vidro, logo o indice de refracao varia com a frequencia, curvando cada cor em angulo diferente.";""
