"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2012_Q027";"multipla";"História";"Interpretação e Produção de Texto";"Modernismo";"Médio";"ENEM";"2012";"15";"As mulheres quebradeiras de coco-babaçu dos Estados do Maranhão, Piauí, Pará e Tocantins, na sua grande maioria, vivem numa situação de exclusão e subalternidade. O termo quebradeira de coco assume o caráter de identidade coletiva na medida em que as mulheres que sobrevivem dessa atividade e reconhecem sua posição e condição desvalorizada pela lógica da dominação, se organizam em movimentos de resistência e de luta pela conquista da terra, pela libertação dos babaçuais, pela autonomia do processo produtivo. Passam a atribuir significados ao seu trabalho e as suas experiências, tendo como principal referência sua condição preexistente de acesso e uso dos recursos naturais. ROCHA, M. R. T. A luta das mulheres quebradeiras de coco-babaçu, pela libertação do coco preso e pela posse da terra. In: **Anais do VII Congresso Latino-Americano de Sociologia Rural**, Quito, 2006 (adaptado).";"Constante violência nos babaçuais na confluência de terras maranhenses, piauienses, paraenses e tocantinenses, região com elevado índice de homicídios.";"Falta de identidade coletiva das trabalhadoras, migrantes das cidades e com pouco vínculo histórico com as áreas rurais do interior do Tocantins, Pará, Maranhão e Piauí.";"Escassez de água nas regiões de veredas, ambientes naturais dos babaçus, causada pela construção de açudes particulares, impedindo o amplo acesso público aos recursos hídricos.";"Progressiva devastação das matas dos cocais, em função do avanço da sojicultura nos chapadões do Meio-Norte brasileiro.";"Dificuldade imposta pelos fazendeiros e posseiros no acesso aos babaçuais localizados no interior de suas propriedades.";"e";"A resposta correta é a alternativa E. Dificuldade imposta pelos fazendeiros e posseiros no acesso aos babaçuais localizados no interior de suas propriedades."
"ENEM_2012_Q028";"multipla";"História";"Literatura Portuguesa";"Comprensión lectora";"Médio";"ENEM";"2012";"15";"Anaxímenes de Mileto disse que o ar é o elemento originário de tudo o que existe, existiu e existirá, e que outras coisas provêm de sua descendência. Quando o ar se dilata, transforma-se em fogo, ao passo que os ventos são ar condensado. As nuvens formam-se a partir do ar por feltragem e, ainda mais condensadas, transformam-se em água. A água, quando mais condensada, transforma-se em terra, e quando condensada ao máximo possível, transformase em pedras. _BURNET, J. A aurora da filosofia grega. Rio de Janeiro: PUC-Rio, 2006 (adaptado)._ TEXTO II Basílio Magno, filósofo medieval, escreveu: “Deus, como criador de todas as coisas, está no princípio do mundo e dos tempos. Quão parcas de conteúdo se nos apresentam, em face desta concepção, as especulações contraditórias dos filósofos, para os quais o mundo se origina, ou de algum dos quatro elementos, como ensinam os Jônios, ou dos átomos, como julga Demócrito. Na verdade, dão a impressão de quererem ancorar o mundo numa teia de aranha.” _GILSON, E.; BOEHNER, P. História da Filosofia Cristã. São Paulo: Vozes, 1991 (adaptado)._";"Eram baseadas nas ciências da natureza.";"Refutavam as teorias de filósofos da religião.";"Tinham origem nos mitos das civilizações antigas.";"Postulavam um princípio originário para o mundo.";"Defendiam que Deus é o princípio de todas as coisas.";"d";"A resposta correta é a alternativa D. Postulavam um princípio originário para o mundo."
"ENEM_2012_Q029";"multipla";"História";"Língua Estrangeira (Espanhol)";"Comprensión lectora";"Médio";"ENEM";"2012";"15";"De repente, sente-se uma vibração que aumenta rapidamente; lustres balançam, objetos se movem sozinhos e somos invadidos pela estranha sensação de medo do imprevisto. Segundos parecem horas, poucos minutos são uma eternidade. Estamos sentindo os efeitos de um terremoto, um tipo de abalo sísmico. ASSAD, L. Os (não tão) imperceptíveis movimentos da Terra. **ComCiência: Revista Eletrônica de Jornalismo Científico**, n. 117, abr. 2010. Disponível em: http://comciencia.br. Acesso em: 2 mar. 2012.";"Alívio da tensão geológica.";"Desgaste da erosão superficial.";"Atuação do intemperismo químico.";"Formação de aquíferos profundos.";"Acúmulo de depósitos sedimentares.";"a";"A resposta correta é a alternativa A. Alívio da tensão geológica."
"ENEM_2012_Q030";"multipla";"História";"Literatura Brasileira";"Mídias digitais";"Médio";"ENEM";"2012";"15";"Experimentei algumas vezes que os sentidos eram enganosos, e é de prudência nunca se fiar inteiramente em quem já nos enganou uma vez. _DESCARTES, R. Meditações Metafísicas. São Paulo: Abril Cultural, 1979._ TEXTO II Sempre que alimentarmos alguma suspeita de que uma ideia esteja sendo empregada sem nenhum significado, precisaremos apenas indagar: de que impressão deriva esta suposta ideia? E se for impossível atribuir-lhe qualquer impressão sensorial, isso servirá para confirmar nossa suspeita. _HUME, D. Uma investigação sobre o entendimento. São Paulo: Unesp, 2004 (adaptado)._";"Defendem os sentidos como critério originário para considerar um conhecimento legítimo.";"Entendem que é desnecessário suspeitar do significado de uma ideia na reflexão filosófica e crítica.";"São legítimos representantes do criticismo quanto à gênese do conhecimento.";"Concordam que conhecimento humano é impossível em relação às ideias e aos sentidos.";"Atribuem diferentes lugares ao papel dos sentidos no processo de obtenção do conhecimento.";"e";"A resposta correta é a alternativa E. Atribuem diferentes lugares ao papel dos sentidos no processo de obtenção do conhecimento."
"ENEM_2012_Q031";"multipla";"História";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2012";"15";"Não ignoro a opinião antiga e muito difundida de que o que acontece no mundo é decidido por Deus e pelo acaso. Essa opinião é muito aceita em nossos dias, devido às grandes transformações ocorridas, e que ocorrem diariamente, as quais escapam à conjectura humana. Não obstante, para não ignorar inteiramente o nosso livre-arbítrio, creio que se pode aceitar que a sorte decida metade dos nossos atos, mas \[o livre-arbítrio\] nos permite o controle sobre a outra metade. _MAQUIAVEL, N. O Príncipe. Brasília: EdUnB, 1979 (adaptado)._";"Valorizar a interferência divina nos acontecimentos definidores do seu tempo.";"Rejeitar a intervenção do acaso nos processos políticos.";"Afirmar a confiança na razão autônoma como fundamento da ação humana.";"Romper com a tradição que valorizava o passado como fonte de aprendizagem.";"Redefinir a ação política com base na unidade entre fé e razão.";"c";"A resposta correta é a alternativa C. Afirmar a confiança na razão autônoma como fundamento da ação humana."
"ENEM_2012_Q032";"multipla";"História";"Interpretação e Produção de Texto";"Modernismo";"Médio";"ENEM";"2012";"15";"A interface clima/sociedade pode ser considerada em termos de ajustamento à extensão e aos modos como as sociedades funcionam em uma relação harmônica com seu clima. O homem e suas sociedades são vulneráveis às variações climáticas. A vulnerabilidade é a medida pela qual uma sociedade é suscetível de sofrer por causas climáticas. AYOADE, J. O. I**ntrodução a climatologia para os trópicos**. Rio de Janeiro: Bertrand Brasil, 2010 (adaptado).";"Concentra suas atividades no setor primário.";"Apresenta estoques elevados de alimentos.";"Possui um sistema de transportes articulado.";"Diversifica a matriz de geração de energia.";"Introduz tecnologias à produção agrícola.";"a";"A resposta correta é a alternativa A. Concentra suas atividades no setor primário."
"ENEM_2012_Q033";"multipla";"História";"Comunicação e Tecnologia";"Mídias digitais";"Médio";"ENEM";"2012";"15";"Uma mesma empresa pode ter sua sede administrativa onde os impostos são menores, as unidades de produção onde os salários são os mais baixos, os capitais onde os juros são os mais altos e seus executivos vivendo onde a qualidade de vida é mais elevada. SEVCENKO, N. **A corrida para o século XXI**: no loop da montanha russa. São Paulo: Companhia das Letras, 2001 (adaptado).";"O crescimento da carga tributária.";"O aumento da mobilidade ocupacional.";"A redução da competitividade entre as empresas.";"O direcionamento das vendas para os mercados regionais.";"A ampliação do poder de planejamento dos Estados nacionais.";"b";"A resposta correta é a alternativa B. O aumento da mobilidade ocupacional."
"ENEM_2012_Q034";"multipla";"História";"Interpretação e Produção de Texto";"Mídias digitais";"Médio";"ENEM";"2012";"15";"A moderna “conquista da Amazônia” inverteu o eixo geográfico da colonização da região. Desde a época colonial até meados do século XIX, as correntes principais e população movimentaram-se no sentido Leste-Oeste, estabelecendo uma ocupação linear articulada. Nas últimas décadas, os fluxos migratórios passaram a se verificar no sentido Sul-Norte, conectando o Centro-Sul à Amazônia. OLIC, N. B. Ocupação da Amazônia, uma epopeia inacabada. **Jornal Mundo**, ano 16, n. 4, ago. 2008 (adaptado).";"Núcleos urbanos em áreas litorâneas.";"Centros agrícolas modernos no interior.";"Vias férreas entre espaços de mineração.";"Faixas de povoamento ao longo das estradas.";"Povoados interligados próximos a grandes rios.";"e";"A resposta correta é a alternativa E. Povoados interligados próximos a grandes rios."
"ENEM_2012_Q035";"multipla";"História";"Literatura Portuguesa";"Reading comprehension";"Médio";"ENEM";"2012";"15";"A experiência que tenho de lidar com aldeias de diversas nações me tem feito ver, que nunca índio fez grande confiança de branco e, se isto sucede com os que estão já civilizados, como não sucederá o mesmo com esses que estão ainda brutos. NORONHA, M. Carta a J. Caldeira Brant. 2 jan.1751. Apud CHAIM, M. M. Aldeamentos indígenas (Goiás: 1749-1811). São Paulo: Nobel, Brasília: INL, 1983 (adaptado).";"Das constantes rebeliões indígenas contra os brancos colonizadores, que ameaçavam a produção de ouro nas regiões mineradoras.";"Da propagação de doenças originadas do contato com os colonizadores, que dizimaram boa parte da população indígena.";"Do empenho das ordens religiosas em proteger o indígena da exploração, o que garantiu a sua supremacia na administração colonial.";"Da política racista da Coroa Portuguesa, contrária à miscigenação, que organizava a sociedade em uma hierarquia dominada pelos brancos.";"Da necessidade de controle dos brancos sobre a população indígena, objetivando sua adaptação às exigências do trabalho regular.";"e";"A resposta correta é a alternativa E. Da necessidade de controle dos brancos sobre a população indígena, objetivando sua adaptação às exigências do trabalho regular."
"ENEM_2012_Q036";"multipla";"História";"Comunicação e Tecnologia";"Mídias digitais";"Médio";"ENEM";"2012";"15";"A partir dos anos 70, impõe-se um movimento de desconcentração da produção industrial, uma das manifestações do desdobramento da divisão territorial do trabalho no Brasil. A produção industrial torna-se mais complexa, estendendo-se, sobretudo, para novas áreas do Sul e para alguns pontos do Centro-Oeste, do Nordeste e do Norte. SANTOS, M.; SILVEIRA, M. L. **O Brasil**: território e sociedade no início do século XXI. Rio de Janeiro: Record, 2002 (fragmento).";"Obsolescência dos portos.";"Estatização de empresas.";"Eliminação de incentivos fiscais.";"Ampliação de políticas protecionistas.";"Desenvolvimento dos meios de comunicação.";"e";"A resposta correta é a alternativa E. Desenvolvimento dos meios de comunicação."
