"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2015_Q038";"multipla";"História";"Literatura Brasileira";"Modernismo";"Médio";"ENEM";"2015";"15";"Um carro esportivo é financiado pelo Japão, projetado na Itália e montado em Indiana, México e França, usando os mais avançados componentes eletrônicos, que foram inventados em Nova Jérsei e fabricados na Coreia. A campanha publicitária é desenvolvida na Inglaterra, filmada no Canadá, a edição e as cópias, feitas em Nova York para serem veiculadas no mundo todo. Teias globais disfarçam-se com o uniforme nacional que lhes for mais conveniente. REICH, R. **O trabalho das nações**: preparando-nos para o capitalismo no século XXI. São Paulo: Educator, 1994 (adaptado).";"Linhas de montagem e formação de estoques.";"Empresas burocráticas e mão de obra barata.";"Controle estatal e infraestrutura consolidada.";"Organização em rede e tecnologia de informação.";"Gestão centralizada e protecionismo econômico.";"d";"A resposta correta é a alternativa D. Organização em rede e tecnologia de informação."
"ENEM_2015_Q039";"multipla";"História";"Literatura Brasileira";"Romantismo";"Médio";"ENEM";"2015";"15";"Na sociedade contemporânea, onde as relações sociais tendem a reger-se por imagens midiáticas, a imagem de um indivíduo, principalmente na indústria do espetáculo, pode agregar valor econômico na medida de seu incremento técnico: amplitude do espelhamento e da atenção pública. Aparecer é então mais do que ser; o sujeito é famoso porque é falado. Nesse âmbito, a lógica circulatória do mercado, ao mesmo tempo que acena democraticamente para as massas com supostos “ganhos distributivos” (a informação ilimitada, a quebra das supostas hierarquias culturais), afeta a velha cultura disseminada na esfera pública. A participação nas redes sociais, a obsessão dos _selfies_, tanto falar e ser falado quanto ser visto são índices do desejo de “espelhamento”. SODRÉ, M. Disponível em: http://alias.estadao.com.br. Acesso em: 9 fev. 2015 (adaptado).";"A prática identitária autorreferente.";"A dinâmica política democratizante.";"A produção instantânea de notícias.";"Os processos difusores de informações.";"Os mecanismos de convergência tecnológica.";"a";"A resposta correta é a alternativa A. A prática identitária autorreferente."
"ENEM_2015_Q040";"multipla";"História";"Literatura Portuguesa";"Arte contemporânea";"Médio";"ENEM";"2015";"15";"A crescente intelectualização e racionalização _não_ indicam um conhecimento maior e geral das condições sob as quais vivemos. Significa a crença em que, se quiséssemos, _poderíamos_ ter esse conhecimento a qualquer momento. Não há forças misteriosas incalculáveis; podemos dominar todas as coisas pelo cálculo. WEBER, M. A ciência como vocação. In: GERTH, H.; MILLS, W. (Org.). **Max Weber**: ensaios de sociologia. Rio de Janeiro: Zahar, 1979 (adaptado).";"Progresso civilizatório como decorrência da expansão do industrialismo.";"Extinção do pensamento mítico como um desdobramento do capitalismo.";"Emancipação como consequência do processo de racionalização da vida.";"Afastamento de crenças tradicionais como uma característica da modernidade.";"Fim do monoteísmo como condição para a consolidação da ciência.";"d";"A resposta correta é a alternativa D. Afastamento de crenças tradicionais como uma característica da modernidade."
"ENEM_2015_Q041";"multipla";"História";"Gramática e Linguística";"Mídias digitais";"Médio";"ENEM";"2015";"15";"Diante de ameaças surgidas com a engenharia genética de alimentos, vários grupos da sociedade civil conceberam o chamado “princípio da precaução”. O fundamento desse princípio é: quando uma tecnologia ou produto comporta alguma ameaça à saúde ou ao ambiente, ainda que não se possa avaliar a natureza precisa ou a magnitude do dano que venha a ser causado por eles, deve-se evitá-los ou deixá-los de quarentena para maiores estudos e avaliações antes de sua liberação. SEVCENKO, N. **A corrida para o século XXI**: no _loop_ da montanha-russa. São Paulo: Cia. das Letras, 2001 (adaptado).";"Priorizar os interesses econômicos em relação aos seres humanos e à natureza.";"Negar a perspectiva científica e suas conquistas por causa de riscos ecológicos.";"Instituir o diálogo público sobre mudanças tecnológicas e suas consequências.";"Combater a introdução de tecnologias para travar o curso das mudanças sociais.";"Romper o equilíbrio entre benefícios e riscos do avanço tecnológico e científico.";"c";"A resposta correta é a alternativa C. Instituir o diálogo público sobre mudanças tecnológicas e suas consequências."
"ENEM_2015_Q042";"multipla";"História";"Interpretação e Produção de Texto";"Coesão e coerência";"Médio";"ENEM";"2015";"15";"Ninguém nasce mulher: torna-se mulher. Nenhum destino biológico, psíquico, econômico define a forma que a fêmea humana assume no seio da sociedade; é o conjunto da civilização que elabora esse produto intermediário entre o macho e o castrado que qualificam o feminino. BEAUVOIR, S. **O segundo sexo**. Rio de Janeiro: Nova Fronteira, 1980";"Ação do Poder Judiciário para criminalizar a violência sexual.";"Pressão do Poder Legislativo para impedir a dupla jornada de trabalho.";"Organização de protestos púbicos para garantir a igualdade de gênero.";"Oposição de grupos religiosos para impedir os casamento homoafetivos.";"Estabelecimento de políticas governamentais para promover ações afirmativas.";"c";"A resposta correta é a alternativa C. Organização de protestos púbicos para garantir a igualdade de gênero."
"ENEM_2015_Q043";"multipla";"História";"Língua Estrangeira (Inglês)";"Arte contemporânea";"Médio";"ENEM";"2015";"15";"Só num sentido muito restrito, o indivíduo cria com seus próprios recursos o modo de falar e de pensar que lhe são atribuídos. Fala o idioma de seu grupo; pensa à maneira de seu grupo. Encontra a sua disposição apenas determinadas palavras e significados. Estas não só determinam, em grau considerável, as vias de acesso mental ao mundo circundante, mas também mostram, ao mesmo tempo, sob que ângulo e em que contexto de atividade os objetos foram até agora perceptíveis ao grupo ou ao indivíduo. MANNHEIM, K. **Ideologia e utopia**. Porto Alegre: Globo 1950 (adaptado)";"Conhecimento sobre a realidade é condicionado socialmente.";"Submissão ao grupo manipula o conhecimento do mundo.";"Divergência é um privilégio de indivíduos excepcionais.";"Educação formal determina o conhecimento do idioma.";"Domínio das línguas universaliza o conhecimento.";"a";"A resposta correta é a alternativa A. Conhecimento sobre a realidade é condicionado socialmente."
"ENEM_2015_Q044";"multipla";"História";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2015";"15";"A Unesco condenou a destruição da antiga capital assíria de Nimrod, no Iraque, pelo Estado Islâmico, com a agência da ONU considerando o ato como um crime de guerra. O grupo iniciou um processo de demolição em vários sítios arqueológicos em uma área reconhecida como um dos berços da civilização. **Unesco e especialistas condenam destruição de cidade assíria pelo Estado Islâmico**. Disponivel em: http://oglobo.globo.com. Acesso em: 30 mar. 2015 (adaptado).";"Homogeneidade cultural.";"Patrimônio histórico.";"Controle ocidental.";"Unidade étnica.";"Religião oficial.";"b";"A resposta correta é a alternativa B. Patrimônio histórico."
"ENEM_2015_Q045";"multipla";"História";"Comunicação e Tecnologia";"Mídias digitais";"Médio";"ENEM";"2015";"15";"A questão ambiental, uma das principais pautas contemporâneas, possibilitou o surgimento de concepções políticas diversas, dentre as quais se destaca a preservação ambiental, que sugere uma ideia de intocabilidade da natureza e impede o seu aproveitamento econômico sob qualquer justificativa. PORTO-GONÇALVES, C. W. **A globalização da natureza e a natureza da globalização**. Rio de Janeiro: Civilização Brasileira, 2006 (adaptado).";"Prática econômica sustentável.";"Contenção de impactos ambientais.";"Utilização progressiva dos recursos naturais.";"Proibição permanente da exploração da natureza.";"Definição de áreas prioritárias para a exploração econômica";"d";"A resposta correta é a alternativa D. Proibição permanente da exploração da natureza."
"ENEM_2015_Q045";"multipla";"História";"Gramática e Linguística";"Modernismo";"Médio";"ENEM";"2015";"15";"A questão ambiental, uma das principais pautas contemporâneas, possibilitou o surgimento de concepções políticas diversas, dentre as quais se destaca a preservação ambiental, que sugere uma ideia de intocabilidade da natureza e impede o seu aproveitamento econômico sob qualquer justificativa. PORTO-GONÇALVES, C. W. **A globalização da natureza e a natureza da globalização**. Rio de Janeiro: Civilização Brasileira, 2006 (adaptado).";"Prática econômica sustentável.";"Contenção de impactos ambientais.";"Utilização progressiva dos recursos naturais.";"Proibição permanente da exploração da natureza.";"Definição de áreas prioritárias para a exploração econômica";"d";"A resposta correta é a alternativa D. Proibição permanente da exploração da natureza."
"ENEM_2015_Q046";"multipla";"História";"Literatura Portuguesa";"Reading comprehension";"Médio";"ENEM";"2015";"15";"Hipoxia ou mal das alturas consiste na diminuição de oxigênio (O2) no sangue arterial do organismo. Por essa razão, muitos atletas apresentam mal-estar (dores de cabeça, tontura, falta de ar etc.) ao praticarem atividade física em altitudes elevadas. Nessas condições, ocorrerá uma diminuição na concentração de hemoglobina oxigenada (HbO2) em equilíbrio no sangue, conforme a relação: ![](https://enem.dev/2015/questions/46/be0a7ac3-da20-4e80-afe9-52a7f0062bcc.png) **Mal da montanha**. Disponível em: www.feng.pucrs.br. Acesso em: 11 fev. 2015 (adaptado).";"Elevação da pressão arterial.";"Aumento da temperatura corporal.";"Redução da temperatura do ambiente.";"Queda da pressão parcial de oxigênio.";"Diminuição da quantidade de hemácias.";"d";"A resposta correta é a alternativa D. Queda da pressão parcial de oxigênio."
