"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2014_Q122";"multipla";"Literatura";"Literatura Portuguesa";"Comprensión lectora";"Médio";"ENEM";"2014";"15";"![](https://enem.dev/2014/questions/122/ff1bfb0f-0911-497a-8a39-2bc0a9741a72.png) CLARK, L. **Bicho de bolso.** Placas de metal, 1966.";"Participação efetiva do espectador na obra, o que determina a proximidade entre arte e vida.";"Percepção do uso de objetos cotidianos para a confecção da obra de arte, aproximando arte e realidade.";"Reconhecimento do uso de técnicas artesanais na arte, o que determina a consolidação de valores culturais.";"Reflexão sobre a captação artística de imagens com meios óticos, revelando o desenvolvimento de uma linguagem própria.";"Entendimento sobre o uso de métodos de produção em série para a confecção da obra de arte, o que atualiza as linguagens artísticas.";"a";"A resposta correta é a alternativa A. Participação efetiva do espectador na obra, o que determina a proximidade entre arte e vida."
"ENEM_2014_Q123";"multipla";"Português";"Interpretação e Produção de Texto";"Comprensión lectora";"Médio";"ENEM";"2014";"15";"Por onde houve colonização portuguesa, a música popular se desenvolveu basicamente com o mesmo instrumental. Podemos ver cavaquinho e violão atuarem juntos aqui, em Cabo Verde, em Jacarta, na Indonésia, ou em Goa. O caráter nostálgico, sentimental, é outro ponto comum da música das colônias portuguesas em todo o mundo. O kronjong, a música típica de Jacarta, é uma espécie de lundu mais lento, tocado comumente com flauta, cavaquinho e violão. Em Goa não é muito diferente.";"Maracatu e ciranda.";"Carimbó e baião.";"Choro e samba.";"Chula e siriri.";"Xote e frevo.";"c";"A resposta correta é a alternativa C. Choro e samba."
"ENEM_2014_Q124";"multipla";"Literatura";"Interpretação e Produção de Texto";"Modernismo";"Médio";"ENEM";"2014";"15";"**Vida obscura** Ninguém sentiu o teu espasmo obscuro, ó ser humilde entre os humildes seres, embriagado, tonto de prazeres, o mundo para ti foi negro e duro. Atravessaste no silêncio escuro a vida presa a trágicos deveres e chegaste ao saber de altos saberes tornando-te mais simples e mais puro. Ninguém te viu o sentimento inquieto, magoado, oculto e aterrador, secreto, que o coração te apunhalou no mundo, Mas eu que sempre te segui os passos sei que cruz infernal prendeu-te os braços e o teu suspiro como foi profundo! SOUSA, C. **Obra completa**. Rio de Janeiro: Nova Aguilar, 1961.";"Sofrimento tácito diante dos limites impostos pela discriminação.";"Tendência latente ao vício como resposta ao isolamento social.";"Extenuação condicionada a uma rotina de tarefas degradantes.";"Frustração amorosa canalizada para as atividades intelectuais.";"Vocação religiosa manifesta na aproximação com a fé cristã.";"a";"A resposta correta é a alternativa A. Sofrimento tácito diante dos limites impostos pela discriminação."
"ENEM_2014_Q125";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Mídias digitais";"Médio";"ENEM";"2014";"15";"**A História, mais ou menos** Negócio seguinte. Três reis magrinhos ouviram um plá de que tinha nascido um Guri. Viram o cometa no Oriente e tal e se flagraram que o Guri tinha pintado por lá. Os profetas, que não eram de dar cascata, já tinham dicado o troço: em Belém, da Judeia, vai nascer o Salvador, e tá falado. Os três magrinhos se mandaram. Mas deram o maior fora. Em vez de irem direto para Belém, como mandava o catálogo, resolveram dar uma incerta no velho Herodes, em Jerusalém. Pra quê! Chegaram lá de boca aberta e entregaram toda a trama. Perguntaram: _Onde está o rei que acaba de nascer? Vimos sua estrela no Oriente e viemos adorá-lo._ Quer dizer, pegou mal. Muito mal. O velho Herodes, que era um oligão, ficou grilado. Que rei era aquele? Ele é que era o dono da praça. Mas comeu em boca e disse: _Joia. Onde é que esse guri vai se apresentar? Em que canal? Quem é o empresário? Tem baixo elétrico? Quero saber tudo._ Os magrinhos disseram que iam flagrar o Guri e na volta dicavam tudo para o coroa. VERISSIMO, L. F. **O nariz e outras crônicas**. São Paulo: Ática, 1994.";"Linguagem rebuscada utilizada pelo narrador no tratamento do assunto.";"Inserção de perguntas diretas acerca do acontecimento narrado.";"Caracterização dos lugares onde se passa a história.";"Emprego de termos bíblicos de forma descontextualizada.";"Contraste entre o tema abordado e a linguagem utilizada.";"e";"A resposta correta é a alternativa E. Contraste entre o tema abordado e a linguagem utilizada."
"ENEM_2014_Q126";"multipla";"Literatura";"Literatura Brasileira";"Arte contemporânea";"Médio";"ENEM";"2014";"15";"FABIANA, _arrepelando-se de raiva_ — Hum! Ora, eis aí está para que se casou meu filho, e trouxe a mulher para minha casa. É isto constantemente. Não sabe o senhor meu filho que quem casa quer casa…. Já não posso, não posso, não posso! _(Batendo com o pé)_. Um dia arrebento, e então veremos! PENA, M. **Quem casa quer casa**. www.dominiopublico.gov.br. Acesso em: 7 dez. 2012.";"Necessidade, porque as encenações precisam ser fiéis às diretrizes do autor.";"Possibilidade, porque o texto pode ser mudado, assim como outros elementos.";"Preciosismo, porque são irrelevantes para o texto ou para a encenação.";"Exigência, porque elas determinam as características do texto teatral.";"Imposição, porque elas anulam a autonomia do diretor.";"b";"A resposta correta é a alternativa B. Possibilidade, porque o texto pode ser mudado, assim como outros elementos."
"ENEM_2014_Q127";"multipla";"Literatura";"Comunicação e Tecnologia";"Romantismo";"Médio";"ENEM";"2014";"15";"![](https://enem.dev/2014/questions/127/96f0d3f9-7155-487a-b274-c39876e88293.jpg) **Jornal Zero Hora**, 2 mar. 2006.";"Uma referência ao contexto, “trânsito no feriadão”, esclarecendo-se o referente tanto do texto de Iotti quanto da obra de Picasso.";"Uma referência ao tempo presente, com o emprego da forma verbal “é”, evidenciando-se a atualidade do tema abordado tanto pelo pintor espanhol quanto pelo chargista brasileiro.";"Um termo pejorativo, “trânsito”, reforçando-se a imagem negativa de mundo caótico presente tanto em Guernica quanto na charge.";"Uma referência temporal, “sempre”, referindo-se à permanência de tragédias retratadas tanto em Guernica quanto na charge.";"Uma expressão polissêmica, “quadro dramático”, remetendo-se tanto à obra pictórica quanto ao contexto do trânsito brasileiro.";"e";"A resposta correta é a alternativa E. Uma expressão polissêmica, “quadro dramático”, remetendo-se tanto à obra pictórica quanto ao contexto do trânsito brasileiro."
"ENEM_2014_Q128";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Análise sintática";"Médio";"ENEM";"2014";"15";"**Tarefa** Morder o fruto amargo e não cuspir Mas avisar aos outros quanto é amargo Cumprir o trato injusto e não falhar Mas avisar aos outros quanto é injusto Sofrer o esquema falso e não ceder Mas avisar aos outros quanto é falso Dizer também que são coisas mutáveis… E quando em muitos a não pulsar — do amargo e injusto e falso por mudar — então confiar à gente exausta o plano de um mundo novo e muito mais humano. CAMPOS, G. **Tarefa**. Rio de Janeiro: Civilização Brasileira, 1981.";"A ligação entre verbos semanticamente semelhantes.";"A oposição entre ações aparentemente inconciliáveis.";"A introdução do argumento mais forte de uma sequência.";"O reforço da causa apresentada no enunciado introdutório.";"A intensidade dos problemas sociais presentes no mundo.";"c";"A resposta correta é a alternativa C. A introdução do argumento mais forte de uma sequência."
"ENEM_2014_Q129";"multipla";"Espanhol";"Língua Estrangeira (Espanhol)";"Modernismo";"Médio";"ENEM";"2014";"15";"Óia eu aqui de novo xaxando Óia eu aqui de novo para xaxar Vou mostrar pr’esses cabras Que eu ainda dou no couro Isso é um desaforo Que eu não posso levar Que eu aqui de novo cantando Que eu aqui de novo xaxando Óia eu aqui de novo mostrando Como se deve xaxar Vem cá morena linda Vestida de chita Você é a mais bonita Desse meu lugar Vai, chama Maria, chama Luzia Vai, chama Zabé, chama Raque Diz que eu tou aqui com alegria BARROS, A. **Óia eu aqui de novo**. Disponível em: www.luizluagonzaga.mus.br. Acesso em: 5 maio 2013 (fragmento).";"“Isso é um desaforo”.";"“Diz que eu tou aqui com alegria”.";"“Vou mostrar pr’esses cabras”.";"“Vai, chama Maria, chama Luzia”.";"“Vem cá morena linda, vestida de chita”.";"c";"A resposta correta é a alternativa C. “Vou mostrar pr’esses cabras”."
"ENEM_2014_Q130";"multipla";"Português";"Gramática e Linguística";"Mídias digitais";"Médio";"ENEM";"2014";"15";"Em uma escala de 0 a 10, o Brasil está entre 3 e 4 no quesito segurança da informação. “Estamos começando a acordar para o problema. Nessa história de espionagem corporativa, temos muita lição a fazer. Falta consciência institucional e um longo aprendizado. A sociedade caiu em si e viu que é uma coisa que nos afeta”, diz S.P., pós-doutor em segurança da informação. Para ele, devem ser estabelecidos canais de denúncia para esse tipo de situação. De acordo com o conselheiro do Comitê Gestor da Internet (CGI), o Brasil tem condições de desenvolver tecnologia própria para garantir a segurança dos dados do país, tanto do governo quanto da população. “Há uma massa de conhecimento dentro das universidades e em empresas inovadoras que podem contribuir propondo medidas para que possamos mudar isso \[falta de segurança\] no longo prazo”. Ele acredita que o governo tem de usar o seu poder de compra de _softwares_ e _hardwares_ para a área da segurança cibernética, de forma a fomentar essas empresas, a produção de conhecimento na área e a construção de uma cadeia de produção nacional. SARRES, C. Disponível em: www.ebc.com.br. Acesso em: 22 nov. 2013 (adaptado).";"Alertar a sociedade sobre os riscos de ser espionada.";"Promover a indústria de segurança da informação.";"Discutir a espionagem em fóruns internacionais.";"Incentivar o aparecimento de delatores.";"Treinar o país em segurança digital.";"b";"A resposta correta é a alternativa B. Promover a indústria de segurança da informação."
"ENEM_2014_Q131";"multipla";"Português";"Comunicação e Tecnologia";"Arte contemporânea";"Médio";"ENEM";"2014";"15";"![](https://enem.dev/2014/questions/131/9fd59444-cee6-4cd1-b2c1-31587d29e28e.png)";"Gasto exagerado com o envio de robôs a outros planetas.";"Exploração indiscriminada de outros planetas.";"Circulação digital excessiva de autorretratos.";"Vulgarização das descobertas espaciais.";"Mecanização das atividades humanas.";"c";"A resposta correta é a alternativa C. Circulação digital excessiva de autorretratos."
