"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2013_Q157";"multipla";"Matemática";"Trigonometria";"Análise combinatória";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/157/05b2dd08-a2a1-45ea-a618-540da89c4bd3.png) Considere 3 como valor aproximado para π";"1,6";"1,7";"2,0";"3,0";"3,8";"a";"A resposta correta é a alternativa A. 1,6"
"ENEM_2013_Q158";"multipla";"Matemática";"Estatística e Probabilidade";"Área e perímetro";"Médio";"ENEM";"2013";"15";"O contribuinte que vende mais de R$ 20 mil de ações em Bolsa de Valores em um mês deverá pagar Imposto de Renda. O pagamento para a Receita Federal consistirá em 15% do lucro obtido com a venda das ações. Disponível em: www1.folha.uol.com.br. Acesso em: 26 abr. 2010 (adaptado).";"R$ 900,00.";"R$ 1 200,00.";"R$ 2 100,00.";"R$ 3 900,00.";"R$ 5 100,00.";"b";"A resposta correta é a alternativa B. R$ 1 200,00."
"ENEM_2013_Q159";"multipla";"Matemática";"Geometria Plana";"Progressões";"Médio";"ENEM";"2013";"15";"Para se construir um contrapiso, é comum, na constituição do concreto, se utilizar cimento, areia e brita, na seguinte proporção: 1 parte de cimento, 4 partes de areia e 2 partes de brita. Para construir o contrapiso de uma garagem, uma construtora encomendou um caminhão betoneira com 14 m³ de concreto.";"1,75";"2,00";"2,33";"4,00";"8,00";"b";"A resposta correta é a alternativa B. 2,00"
"ENEM_2013_Q160";"multipla";"Matemática";"Geometria Espacial";"Análise combinatória";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/160/c7425191-f428-4a64-bb30-70e95b899200.png)";"F";"G";"H";"M";"P";"b";"A resposta correta é a alternativa B. G"
"ENEM_2013_Q161";"multipla";"Matemática";"Funções";"Equações do 2º grau";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/161/71e7f83b-c1a9-4a5f-af6f-5060240c73b6.png) Disponível em: www.correios.com.br. Acesso em: 2 ago. 2012 (adaptado).";"8,35";"12,50";"14,40";"15,35";"18,05";"d";"A resposta correta é a alternativa D. 15,35"
"ENEM_2013_Q162";"multipla";"Matemática";"Matemática Financeira";"Progressões";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/162/7abe2076-bc00-4223-af44-4a621459fc52.png)";"300,00.";"345,00.";"350,00.";"375,00.";"400,00.";"c";"A resposta correta é a alternativa C. 350,00."
"ENEM_2013_Q163";"multipla";"Matemática";"Matemática Financeira";"Funções quadráticas";"Médio";"ENEM";"2013";"15";"Para aumentar as vendas no início do ano, uma loja de departamentos remarcou os preços de seus produtos 20% abaixo do preço original. Quando chegam ao caixa, os clientes que possuem o cartão fidelidade da loja têm direito a um desconto adicional de 10% sobre o valor total de suas compras. Um cliente deseja comprar um produto que custava R$ 50,00 antes da remarcação de preços. Ele não possui o cartão fidelidade da loja.";"15,00";"14,00";"10,00";"5,00";"4,00";"e";"A resposta correta é a alternativa E. 4,00"
"ENEM_2013_Q164";"multipla";"Matemática";"Geometria Espacial";"Progressões";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/164/b06811f8-91ea-46e6-8a0f-048141c9045b.png)";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"[alternativa visual]";"e";"Gabarito oficial: alternativa E. Consulte a resolução completa no gabarito oficial do INEP."
"ENEM_2013_Q165";"multipla";"Matemática";"Trigonometria";"Funções quadráticas";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/165/2d41f715-77e6-4676-a0d0-89a5eca34887.png)";"6";"12";"18";"24";"36";"b";"A resposta correta é a alternativa B. 12"
"ENEM_2013_Q166";"multipla";"Matemática";"Números e Operações";"Seno e cosseno";"Médio";"ENEM";"2013";"15";"Considere 0,3 como aproximação para log10 2.";"27";"36";"50";"54";"100";"e";"A resposta correta é a alternativa E. 100"
"ENEM_2013_Q167";"multipla";"Matemática";"Estatística e Probabilidade";"Equações do 2º grau";"Médio";"ENEM";"2013";"15";"Disponível em: www.arq.ufsc.br. Acesso em: 3 mar. 2012. Suponha que uma peça, quando moldada em argila, possuía uma base retangular cujos lados mediam 30 cm e 15 cm. Após o cozimento, esses lados foram reduzidos em 20%.";"4%";"20%";"36%";"64%";"96%";"c";"A resposta correta é a alternativa C. 36%"
"ENEM_2013_Q168";"multipla";"Matemática";"Matemática Financeira";"Funções quadráticas";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/168/a837d05f-4fe2-4d97-8542-fbcea6679fe9.png)";"Excelente.";"Bom.";"Regular.";"Ruim.";"Péssimo.";"b";"A resposta correta é a alternativa B. Bom."
"ENEM_2013_Q169";"multipla";"Matemática";"Estatística e Probabilidade";"Juros compostos";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/169/4edf5f0f-1c12-4b0b-a004-77d4d4835645.png) Cinco apostadores, cada um com R$ 500,00 para apostar, fizeram as seguintes opções: Arthur: 250 cartelas com 6 números escolhidos; Bruno: 41 cartelas com 7 números escolhidos e 4 cartelas com 6 números escolhidos; Caio: 12 cartelas com 8 números escolhidos e 10 cartelas com 6 números escolhidos; Douglas: 4 cartelas com 9 números escolhidos; Eduardo: 2 cartelas com 10 números escolhidos.";"Caio e Eduardo.";"Arthur e Eduardo.";"Bruno e Caio.";"Arthur e Bruno.";"Douglas e Eduardo.";"a";"A resposta correta é a alternativa A. Caio e Eduardo."
"ENEM_2013_Q170";"multipla";"Matemática";"Números e Operações";"Volume de sólidos";"Médio";"ENEM";"2013";"15";"Nos Estados Unidos a unidade de medida de volume mais utilizada em latas de refrigerante é a onça fluida (fl oz), que equivale a aproximadamente 2,95 centilitros (cL). Sabe-se que o centilitro é a centésima parte do litro e que a lata de refrigerante usualmente comercializada no Brasil tem capacidade de 355 mL.";"0,83";"1,20";"12,03";"104,73";"120,34";"c";"A resposta correta é a alternativa C. 12,03"
"ENEM_2013_Q172";"multipla";"Matemática";"Geometria Plana";"Progressões";"Médio";"ENEM";"2013";"15";"A temperatura T de um forno (em graus centígrados) é reduzida por um sistema a partir do instante de seu desligamento (t = 0) e varia de acordo com a expressão ![](https://enem.dev/2013/questions/172/d05feb96-582b-4f24-8173-87c59a15ee16.png)com t em minutos. Por motivos de segurança, a trava do forno só é liberada para abertura quando o forno atinge a temperatura de 39 ºC.";"19,0";"19,8";"20,0";"38,0";"39,0";"d";"A resposta correta é a alternativa D. 38,0"
"ENEM_2013_Q173";"multipla";"Matemática";"Funções";"Seno e cosseno";"Médio";"ENEM";"2013";"15";"O ciclo de atividade magnética do Sol tem um período de 11 anos. O início do primeiro ciclo registrado se deu no começo de 1755 e se estendeu até o final de 1765. Desde então, todos os ciclos de atividade magnética do Sol têm sido registrados. Disponível em: http://g1.globo.com. Acesso em: 27 fev. 2013.";"32";"34";"33";"35";"31";"a";"A resposta correta é a alternativa A. 32"
"ENEM_2013_Q174";"multipla";"Matemática";"Matemática Financeira";"Análise combinatória";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/174/058b1a19-673e-41e2-864f-585fb4405de3.png) Há interesse em estimar o número de vezes que foi ampliada a área correspondente a esse estado no mapa do Brasil.";"Menor que 10.";"Maior que 10 e menor que 20.";"Maior que 20 e menor que 30.";"Maior que 30 e menor que 40.";"Maior que 40.";"d";"A resposta correta é a alternativa D. Maior que 30 e menor que 40."
"ENEM_2013_Q175";"multipla";"Matemática";"Números e Operações";"Análise combinatória";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/175/eb855bec-d0a6-4b05-b8d8-fcff4deae0a7.png) A torre deve estar situada em um local equidistante das três antenas.";"(65 ; 35).";"(53 ; 30).";"(45 ; 35).";"(50 ; 20).";"(50 ; 30).";"e";"A resposta correta é a alternativa E. (50 ; 30)."
"ENEM_2013_Q176";"multipla";"Matemática";"Trigonometria";"Juros compostos";"Médio";"ENEM";"2013";"15";"![](https://enem.dev/2013/questions/176/38cb8424-5409-40d1-bed1-ccff111fb5ea.png) Nela identifica-se a representação de duas figuras geométricas tridimensionais.";"Um tronco de cone e um cilindro.";"Um cone e um cilindro.";"Um tronco de pirâmide e um cilindro.";"Dois troncos de cone.";"Dois cilindros.";"d";"A resposta correta é a alternativa D. Dois troncos de cone."
