"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3881";"multipla";"Matemática";"Trigonometria";"Lei dos Cossenos";"Difícil";"Vestibular";"2024";"Em um triângulo com lados a = 5, b = 7 e ângulo C = 60° entre eles, qual é o lado c?";"√39";"√74";"6";"√61";"8";"a";"Lei dos Cossenos: c² = a² + b² − 2ab·cos C = 25 + 49 − 2(5)(7)(0,5) = 74 − 35 = 39. c = √39.";""
"3882";"multipla";"Física";"Mecânica";"Potência";"Médio";"Vestibular";"2024";"Uma máquina realiza 1.200 J de trabalho em 4 segundos. Qual é sua potência?";"300 W";"4.800 W";"1.200 W";"150 W";"600 W";"a";"Potência P = W/t = 1200/4 = 300 W. 1 Watt = 1 Joule por segundo. Potência é a taxa de realização de trabalho.";""
"3883";"multipla";"Química";"Orgânica";"Alcanos";"Fácil";"Vestibular";"2024";"Os alcanos são hidrocarbonetos saturados com fórmula geral CₙH₂ₙ₊₂. O gás butano (C₄H₁₀) é usado como:";"Combustível em botijões de gás de cozinha (GLP)";"Anestésico cirúrgico";"Fertilizante agrícola";"Corante industrial";"Catalisador em refinarias";"a";"O GLP (Gás Liquefeito de Petróleo) é uma mistura de propano (C₃H₈) e butano (C₄H₁₀), armazenada sob pressão em botijões. É derivado do refino do petróleo e amplamente usado como combustível doméstico para cozimento.";""
"3884";"multipla";"Biologia";"Citologia";"Aparelho de Golgi";"Médio";"Vestibular";"2024";"O complexo de Golgi é responsável por:";"Processar, modificar e empacotar proteínas para exportação ou uso interno na célula";"Produzir ATP";"Replicar o DNA";"Realizar fotossíntese";"Degradar resíduos celulares";"a";"O complexo de Golgi (sistema de membranas empilhadas) recebe proteínas do RER, as modifica (glicosilação, fosforilação), as classifica e as empacota em vesículas para: secreção (exocitose), membranas celulares ou lisossomos. É a 'central de distribuição' da célula.";""
"3885";"multipla";"História";"Contemporânea";"Guerras do Oriente Médio";"Médio";"Vestibular";"2024";"A invasão do Iraque pelos EUA em 2003 foi justificada com base na alegação de que o país possuía:";"Armas de destruição em massa (que nunca foram encontradas)";"Apoio comprovado à Al-Qaeda";"Reservas de petróleo secretas ilegais";"Armas nucleares funcionais";"Aliança militar com a China";"a";"O governo Bush justificou a invasão do Iraque (2003) com a alegação de que Saddam Hussein possuía armas de destruição em massa (biológicas, químicas, nucleares). As armas nunca foram encontradas, tornando a justificativa inválida. A guerra resultou em centenas de milhares de mortes, instabilidade regional e o surgimento do Estado Islâmico.";""
"3886";"multipla";"Geografia";"Geopolítica";"Segurança Alimentar";"Médio";"Vestibular";"2024";"O conceito de soberania alimentar, diferente de segurança alimentar, preconiza:";"O direito dos povos de definir suas próprias políticas alimentares e agrícolas, priorizando a produção local";"A liberalização do comércio de alimentos no mercado global";"O controle das corporações transnacionais sobre a produção de alimentos";"A padronização mundial dos hábitos alimentares";"A privatização das terras agrícolas para maior eficiência";"a";"Segurança alimentar: acesso físico e econômico de todas as pessoas a alimentos suficientes e nutritivos. Soberania alimentar (Via Campesina, 1996): vai além — defende o direito dos povos a definir suas políticas alimentares, produzindo alimentos culturalmente adequados de forma sustentável, sem dependência de multinacionais ou commodities especulativas.";""
"3887";"multipla";"Língua Portuguesa";"Literatura";"Lima Barreto";"Médio";"Vestibular";"2024";"Lima Barreto foi um escritor pré-modernista que denunciou o racismo e a exclusão social no Brasil. Qual é sua obra mais famosa?";"Triste Fim de Policarpo Quaresma";"O Cortiço";"Dom Casmurro";"Macunaíma";"Iracema";"a";"'Triste Fim de Policarpo Quaresma' (1915) narra a história de um patriota ingênuo que acredita nos ideais republicanos e vai sendo desiludido pela burocracia e pela corrupção. Lima Barreto (negro, pobre, alcoolista) usou a literatura para denunciar o racismo, o preconceito de classe e as contradições da 'Belle Époque' carioca.";""
"3888";"multipla";"Filosofia";"Filosofia da Ciência";"Lakatos";"Difícil";"Vestibular";"2024";"Imre Lakatos propôs a noção de 'programas de pesquisa científica' como alternativa tanto ao positivismo quanto ao falsificacionismo de Popper. Um programa de pesquisa consiste em:";"Um núcleo duro de hipóteses irrefutáveis protegido por um 'cinturão protetor' de hipóteses auxiliares";"Um conjunto de experiências empíricas sem teoria";"A rejeição imediata de qualquer hipótese falsificada";"A aceitação de qualquer hipótese que explique os dados";"Um grupo de cientistas com o mesmo paradigma";"a";"Lakatos ('A Metodologia dos Programas de Pesquisa Científica'): cientistas protegem o núcleo duro de suas teorias modificando hipóteses auxiliares para acomodar anomalias. Um programa é progressivo se prevê fatos novos; degenerativo se só explica anomalias post hoc. Isso explica por que teorias não são abandonadas imediatamente ao surgir evidência contrária.";""
"3889";"multipla";"Sociologia";"Poder";"Microfísica do Poder";"Difícil";"Vestibular";"2024";"Para Foucault, o poder não está centralizado no Estado mas é:";"Difuso, capilar e exercido em todas as relações sociais (microfísica do poder)";"Exclusivamente econômico e pertence à burguesia";"Uma propriedade que alguns indivíduos possuem e outros não";"Exercido apenas pela força física e coerção";"Localizado nas instituições religiosas";"a";"Foucault ('Vigiar e Punir', 'Microfísica do Poder') propõe que o poder não é uma substância que se possui, mas uma relação que se exerce em múltiplos pontos da rede social — escolas, hospitais, prisões, famílias, consultórios. O poder produz saberes (discursos que definem o normal/anormal) e é inseparável das práticas cotidianas.";""
"3890";"multipla";"Matemática";"Funções";"Assíntotas";"Difícil";"Vestibular";"2024";"A função racional f(x) = 1/(x−2) tem assíntota vertical em:";"x = 2";"x = 1";"x = 0";"y = 0";"y = 1";"a";"Assíntota vertical: valores de x que tornam o denominador zero. x − 2 = 0 → x = 2. Quando x → 2, f(x) → ±∞. A assíntota horizontal é y = 0 (quando x → ±∞, f(x) → 0).";""
