"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"4109";"multipla";"Biologia";"Genetica";"Tecnologia do DNA recombinante";"Medio";"Vestibular";"2024";"A PCR (Reacao em Cadeia da Polimerase) e utilizada para:";"Amplificar (copiar) segmentos especificos de DNA in vitro";"Sequenciar proteinas";"Separar fragmentos de DNA por tamanho";"Inserir genes em bacterias";"Hibridizar moleculas de RNA";"a";"A PCR (Polymerase Chain Reaction), desenvolvida por Kary Mullis em 1983 (Nobel 1993), amplifica exponencialmente sequencias especificas de DNA usando: primers (iniciadores), DNA polimerase termoestavel (Taq polimerase), dNTPs e ciclagem de temperatura (desnaturacao, anelamento, extensao). E usada em diagnostico, forense, pesquisa evolutiva e engenharia genetica.";""
"4110";"multipla";"Biologia";"Fisiologia Vegetal";"Hormonios vegetais";"Medio";"Vestibular";"2024";"A auxina (AIA) e um hormonio vegetal responsavel principalmente por:";"Elongamento celular e fototropismo — crescimento em direcao a luz";"Dormencia de sementes e fechamento estomatal";"Amadurecimento de frutos";"Crescimento das raizes laterais inibicao do apice";"Divisao celular no meristema apical";"a";"A auxina (acido indolacetico - AIA) e produzida principalmente no meristema apical e promove elongamento celular. O fototropismo positivo ocorre porque a luz reduz a concentracao de auxina no lado iluminado, causando maior crescimento no lado sombreado e curvatura em direcao a luz. Em alta concentracao inibe o crescimento de gemas laterais (dominancia apical).";""
"4111";"multipla";"Biologia";"Zoologia";"Classificacao dos vertebrados";"Facil";"Vestibular";"2024";"Qual caracteristica distingue os mamiferos dos demais vertebrados?";"Producao de leite pelas femeas para amamentar os filhotes";"Possuirem escamas";"Serem ectotermicos";"Terem quatro membros";"Possuirem penas";"a";"Os mamiferos sao definidos pela presenca de glandulas mamarias (producao de leite), pelos ou cabelos, temperatura corporal regulada (homeotermia) e, na maioria, por parirem filhotes vivos (viviparidade). A amamentacao e a caracteristica mais exclusiva e definitoria da classe Mammalia.";""
"4112";"multipla";"Biologia";"Ecologia";"Populacao e dinamica";"Medio";"Vestibular";"2024";"Quando uma populacao atinge a capacidade de suporte do ambiente (K), sua taxa de crescimento:";"Aproxima-se de zero — crescimento logistico (curva S)";"Continua crescendo exponencialmente";"Se torna negativa sempre";"Duplica rapidamente";"E constante e maxima";"a";"O modelo logistico de crescimento populacional descreve que populacoes crescem rapidamente quando pequenas (crescimento exponencial) mas desaceleram conforme se aproximam da capacidade de suporte (K) — resistencia ambiental (competicao, predacao, doenca). No ponto K, natalidade = mortalidade e o crescimento liquido = 0. A curva resultante tem formato de S (sigmóide).";""
"4113";"multipla";"Historia";"Historia Geral";"Revolucao Americana";"Medio";"Vestibular";"2024";"A Declaracao de Independencia dos Estados Unidos (1776) foi influenciada pelos ideais:";"Iluministas — direitos naturais, soberania popular e representacao politica";"Marxistas — luta de classes e abolicao da propriedade privada";"Feudais — senhoriagem e hierarquia social rigida";"Mercantilistas — acumulacao de metais preciosos";"Medievais — teocracia e direito divino";"a";"A Declaracao de Independencia (redigida por Thomas Jefferson) e fortemente influenciada por John Locke (direitos naturais: vida, liberdade e busca da felicidade), Montesquieu (separacao de poderes) e Rousseau (soberania popular). Afirma que 'todos os homens sao criados iguais' e que os governos derivam seu poder do consentimento dos governados.";""
"4114";"multipla";"Historia";"Historia do Brasil";"Movimento operario";"Medio";"Vestibular";"2024";"O anarco-sindicalismo foi a principal corrente politica do movimento operario brasileiro nas decadas de 1900-1920 porque:";"Influencia dos imigrantes europeus (italianos, espanhois) que trouxeram o anarquismo para o Brasil";"A Igreja Catolica financiou os sindicatos anarquistas";"O governo Vargas apoiou os anarquistas contra os comunistas";"O Partido Comunista ainda nao existia no Brasil";"Os imigrantes preferiam o anarquismo ao socialismo";"a";"O anarco-sindicalismo dominou o movimento operario brasileiro no inicio do seculo XX, influenciado pelos imigrantes italianos, espanhois e portugueses que trouxeram sua experiencia sindical europeia. A greve geral de 1917 em Sao Paulo foi o ponto alto desse movimento. Com a fundacao do PCB em 1922 e a Revolucao de 1930, o comunismo e o trabalhismo varguista gradualmente suplantaram o anarquismo.";""
"4115";"multipla";"Historia";"Historia Geral";"Descolonizacao da Africa";"Medio";"Vestibular";"2024";"A descolonizacao africana ocorreu principalmente:";"Nas decadas de 1950-1970, apos a Segunda Guerra Mundial";"No seculo XIX, juntamente com a America Latina";"No seculo XX, iniciada apos a Primeira Guerra Mundial";"No seculo XXI, com o fim da Guerra Fria";"Gradualmente ao longo do seculo XVIII";"a";"A grande onda de descolonizacao africana ocorreu nas decadas de 1950-70. Fatores: enfraquecimento das potencias coloniais apos a WWII, pressao dos movimentos de libertacao nacional (Pan-africanismo, MPLA, FRELIMO etc.), criacao da ONU e principio da autodeterminacao dos povos. Em 1960, 17 paises africanos tornaram-se independentes (Ano da Africa).";""
"4116";"multipla";"Historia";"Historia Geral";"Guerra do Vietna";"Medio";"Vestibular";"2024";"A Guerra do Vietna (1955-1975) terminou com:";"A derrota dos EUA e a unificacao do Vietna sob o regime comunista do Norte";"A divisao permanente do Vietna em Norte e Sul";"A vitoria norte-americana e implantacao da democracia liberal";"A intervencao da ONU e criacao de um Estado neutro";"A derrota comunista e alianca do Vietna com os EUA";"a";"A Guerra do Vietna terminou em 1975 com a queda de Saigon (capital do Sul) para as forcas norte-vietnamitas. Em 1976, o pais foi unificado como Republica Socialista do Vietna. Foi um trauma profundo para os EUA (58.000 mortos americanos, derrota humilhante), levando ao 'sindrome do Vietna' (relutancia em intervencoes militares).";""
"4117";"multipla";"Geografia";"Geomorfologia";"Estrutura interna da Terra";"Facil";"Vestibular";"2024";"As camadas internas da Terra, da mais externa para a mais interna, sao:";"Crosta, manto e nucleo";"Nucleo, manto e crosta";"Litosfera, atmosfera e hidrosfera";"Manto, crosta e nucleo";"Astenosfera, litosfera e nucleo";"a";"A estrutura interna da Terra: (1) Crosta — camada mais externa (0-70 km), rochosa (continental e oceanica). (2) Manto — camada intermediaria (~70-2900 km), rochoso viscoelastico; a astenosfera (zona plastica do manto superior) permite o movimento das placas tectonicas. (3) Nucleo — centro da Terra (~2900-6371 km), ferro e niquel; nucleo externo liquido (gera campo magnetico) e nucleo interno solido.";""
"4118";"multipla";"Geografia";"Geomorfologia";"Tectonica de placas";"Medio";"Vestibular";"2024";"A Teoria da Deriva Continental, proposta por Alfred Wegener em 1912, e suportada pela evidencia de:";"Encaixe dos continentes, fosseis identicos em continentes separados e cadeias montanhosas coincidentes";"Correntes oceanicas e ventos alisios";"Satelites que mediram a separacao dos continentes";"Erupcoes vulcanicas sincronas em diferentes continentes";"Radioatividade do manto e do nucleo";"a";"Wegener propôs que os continentes formaram um supercontinente (Pangeia) que se fragmentou. Evidencias: (1) encaixe geometrico dos continentes (especialmente Africa e America do Sul); (2) fosseis de Glossopteris e Mesossauro em continentes hoje separados; (3) cadeias montanhosas que se continuam em continentes separados (Caledonianas). A teoria ganhou aceitacao com a descoberta da expansao do assoalho oceanico nos anos 1960.";""
