"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3781";"multipla";"Matemática";"Geometria";"Teorema de Tales";"Médio";"Vestibular";"2024";"Pelo Teorema de Tales, se duas retas transversais cortam um feixe de paralelas, os segmentos correspondentes são proporcionais. Se AB = 4, BC = 6 e DE = 3, qual é EF (correspondente a BC)?";"4,5";"3";"2";"6";"5";"a";"Tales: AB/BC = DE/EF → 4/6 = 3/EF → EF = 3×6/4 = 18/4 = 4,5.";""
"3782";"multipla";"Física";"Acústica";"Intensidade Sonora";"Médio";"Vestibular";"2024";"A unidade de medida do nível de intensidade sonora é o:";"Decibel (dB)";"Hertz (Hz)";"Pascal (Pa)";"Watt (W)";"Newton (N)";"a";"O decibel (dB) mede o nível de intensidade sonora em escala logarítmica. 0 dB = limiar da audição humana; 120 dB = limiar da dor. A frequência é medida em Hz; intensidade em W/m²; pressão em Pa.";""
"3783";"multipla";"Química";"Bioquímica";"Enzimas";"Médio";"Vestibular";"2024";"As enzimas são catalisadores biológicos. Sua eficiência é altamente dependente de:";"pH e temperatura (condições ótimas específicas para cada enzima)";"Pressão atmosférica";"Concentração de oxigênio";"Densidade da solução";"Campo magnético";"a";"Cada enzima tem pH e temperatura ótimos para sua atividade. Ex.: pepsina (estômago) atua em pH ≈ 2; amilase salivar em pH ≈ 7. Temperatura muito alta ou pH extremo desnatura a enzima (altera a conformação 3D), inativando-a.";""
"3784";"multipla";"Biologia";"Biologia Molecular";"PCR";"Difícil";"Vestibular";"2024";"A técnica de PCR (Reação em Cadeia da Polimerase) é usada para:";"Amplificar (multiplicar) sequências específicas de DNA in vitro";"Sequenciar proteínas";"Produzir anticorpos monoclonais";"Cultivar bactérias em laboratório";"Sintetizar RNA a partir de proteínas";"a";"PCR (Mullis, 1983 — Nobel 1993): técnica que amplifica exponencialmente sequências específicas de DNA usando a enzima Taq polimerase. Ciclos de desnaturação (separação das fitas), anelamento de primers e extensão produzem bilhões de cópias. Aplicações: diagnóstico (COVID-19, HIV), medicina forense, pesquisa genética, testes de paternidade.";""
"3785";"multipla";"História";"Contemporânea";"Globalização";"Médio";"Vestibular";"2024";"A globalização econômica acelerou-se a partir dos anos 1980-90 impulsionada por:";"Avanços em TI, queda do socialismo soviético, liberalização financeira e tratados de livre comércio";"Apenas o crescimento da China";"A Segunda Guerra Mundial";"O surgimento dos BRICS";"A Revolução Industrial do séc. XVIII";"a";"A globalização atual foi acelerada pela: Revolução da TI (internet, telecomunicações), queda do Muro de Berlim (1989) e fim da URSS (1991), neoliberalismo (Reagan/Thatcher), formação de blocos como NAFTA, UE, MERCOSUL, e Organização Mundial do Comércio (OMC, 1995).";""
"3786";"multipla";"Geografia";"Climatologia";"Tipos Climáticos";"Médio";"Vestibular";"2024";"O clima semiárido do Nordeste brasileiro caracteriza-se por:";"Chuvas irregulares e concentradas em poucos meses, com longos períodos de seca";"Chuvas bem distribuídas o ano todo";"Frio intenso no inverno";"Alta umidade e temperaturas amenas";"Precipitação anual superior a 2.000 mm";"a";"O semiárido nordestino tem precipitação média anual abaixo de 800 mm, irregularmente distribuída (regime de chuvas: fevereiro-maio). Longos períodos de seca (estiagem), alta evapotranspiração e caatinga como vegetação típica.";""
"3787";"multipla";"Língua Portuguesa";"Literatura";"Poesia Moderna";"Médio";"Vestibular";"2024";"Carlos Drummond de Andrade é o maior poeta modernista brasileiro. Qual é o poema que inicia com 'No meio do caminho tinha uma pedra'?";"'No Meio do Caminho' (1928) — publicado na Revista de Antropofagia";"'Morte e Vida Severina'";"'Vou-me Embora pra Pasárgada'";"'Evocação do Recife'";"'Pneumotórax'";"a";"'No Meio do Caminho' é um dos poemas mais polêmicos do Modernismo brasileiro. A repetição anafórica ('No meio do caminho tinha uma pedra / tinha uma pedra no meio do caminho') simboliza os obstáculos da vida e da criação. Publicado por Drummond em 1928, foi visto como ruptura com a poesia tradicional.";""
"3788";"multipla";"Filosofia";"Hermenêutica";"Gadamer";"Difícil";"Vestibular";"2024";"Hans-Georg Gadamer, em 'Verdade e Método', propõe que a compreensão é sempre mediada por:";"A tradição e os preconceitos (pré-compreensões) do intérprete";"Algoritmos objetivos de análise textual";"A intenção original do autor";"A estrutura lógico-formal do texto";"A classe social do leitor";"a";"Para Gadamer, compreender um texto (ou obra cultural) nunca é neutro: o intérprete já carrega uma 'pré-compreensão' formada pela tradição em que vive ('horizonte'). A interpretação é uma 'fusão de horizontes' entre o texto e o intérprete — não há acesso direto ao sentido 'original'. Os preconceitos não são erros a eliminar, mas condição de possibilidade da compreensão.";""
"3789";"multipla";"Sociologia";"Saúde";"SUS";"Fácil";"Vestibular";"2024";"O SUS (Sistema Único de Saúde) foi criado pela Constituição Federal de 1988. Qual é seu princípio fundamental?";"Saúde como direito universal, integral e gratuito, financiado pelo Estado";"Saúde apenas para trabalhadores contribuintes";"Saúde como mercadoria vendida por planos privados";"Saúde restrita a doenças infecciosas";"Saúde gerida exclusivamente pelos municípios";"a";"O SUS (CF/1988, Art. 196) estabelece que 'saúde é direito de todos e dever do Estado'. Princípios: universalidade (todos têm direito), integralidade (atenção completa, da prevenção ao tratamento), equidade (priorizar os mais vulneráveis) e descentralização com controle social.";""
"3790";"multipla";"Matemática";"Matemática Financeira";"Juros Simples";"Médio";"Vestibular";"2024";"Um capital de R$ 1.000 é aplicado a juros simples de 2% ao mês por 6 meses. Qual é o montante final?";"R$ 1.120";"R$ 1.200";"R$ 1.020";"R$ 1.126,16";"R$ 1.060";"a";"Juros simples: J = C × i × t = 1000 × 0,02 × 6 = R$ 120. Montante M = C + J = 1000 + 120 = R$ 1.120.";""
"3791";"multipla";"Física";"Mecânica dos Fluidos";"Empuxo";"Médio";"Vestibular";"2024";"O Princípio de Arquimedes afirma que todo corpo submerso em um fluido sofre um empuxo igual a:";"O peso do fluido deslocado pelo corpo";"O peso do próprio corpo";"A pressão multiplicada pela área";"A densidade do fluido vezes o volume do corpo";"A massa do corpo vezes a gravidade";"a";"E = ρ_fluido × g × V_submerso = peso do fluido deslocado. Se E > peso do corpo, ele flutua; se E < peso, afunda; se E = peso, fica em equilíbrio submerso.";""
"3792";"multipla";"Química";"Polímeros";"PET";"Médio";"Vestibular";"2024";"O PET (politereftalato de etileno) é utilizado em garrafas plásticas. É um polímero obtido por:";"Polimerização por condensação (poliéster)";"Polimerização por adição";"Fermentação";"Oxidação catalítica";"Hidrólise básica";"a";"PET é um poliéster formado pela condensação entre ácido tereftálico e etileno glicol, com liberação de água. É reciclável (código 1 — PET) e amplamente usado em embalagens, fibras sintéticas (poliéster) e filmes.";""
"3793";"multipla";"Biologia";"Botânica";"Briófitas";"Médio";"Vestibular";"2024";"Os musgos pertencem ao grupo das briófitas. Qual característica os diferencia das plantas vasculares?";"Ausência de tecidos vasculares (xilema e floema) e dependência de água para a reprodução";"Presença de frutos";"Sementes nuas";"Raízes verdadeiras";"Folhas com nervuras vascularizadas";"a";"Briófitas (musgos, hepáticas, antóceros) são avasculares — sem xilema e floema. Absorvem água por toda a superfície. Para reprodução, os anterozoides (gametas masculinos) precisam nadar em água para alcançar o arquegônio. Por isso são restritas a ambientes úmidos.";""
"3794";"multipla";"História";"Brasil Contemporâneo";"Lula I e II";"Médio";"Vestibular";"2024";"Os governos Lula I e II (2003-2010) ficaram marcados por programas de redução da pobreza. Além do Bolsa Família, qual outra política de inclusão social foi implementada?";"Expansão do ensino superior (REUNI, PROUNI e cotas raciais)";"Privatização do SUS";"Redução do salário mínimo";"Extinção do FGTS";"Criação do Banco Nacional";"a";"O governo Lula expandiu o ensino superior: REUNI (expansão das universidades federais), PROUNI (bolsas em faculdades privadas para estudantes de baixa renda), FIES (financiamento estudantil) e cotas raciais e sociais nas universidades federais. Essas políticas promoveram inédita inclusão de negros e pobres no ensino superior.";""
"3795";"multipla";"Língua Portuguesa";"Gramática";"Flexão Nominal";"Fácil";"Vestibular";"2024";"O plural de 'cidadão' é:";"cidadãos";"cidadães";"cidadões";"cidadons";"cidadãis";"a";"Palavras terminadas em '-ão' fazem plural em '-ãos' (cidadão/cidadãos, mão/mãos), '-ães' (pão/pães, cão/cães) ou '-ões' (limão/limões, balão/balões). Não há regra geral — deve-se memorizar. 'Cidadão' → 'cidadãos'.";""
"3796";"multipla";"Filosofia";"Filosofia da História";"Hegel";"Difícil";"Vestibular";"2024";"Para Hegel, o processo dialético da história move-se por:";"Tese, antítese e síntese — contradições que se superam progressivamente";"Ciclos eternos sem progresso";"Vontade arbitrária dos governantes";"Determinismo econômico";"Forças naturais impessoais";"a";"A dialética hegeliana: toda realidade (e a história) move-se por contradições. Uma tese (afirmação) gera sua negação (antítese); o conflito se resolve em síntese, que se torna nova tese em nível superior. O Espírito (Geist) realiza-se progressivamente na história, atingindo a autoconsciência plena na liberdade.";""
"3797";"multipla";"Matemática";"Álgebra";"Sistemas Lineares Impossíveis";"Médio";"Vestibular";"2024";"O sistema {x + y = 5; x + y = 8} é classificado como:";"Impossível — não tem solução (retas paralelas)";"Possível determinado";"Possível indeterminado";"Dependente";"Consistente";"a";"As equações têm os mesmos coeficientes das variáveis (x+y) mas diferentes termos independentes (5 ≠ 8). Geometricamente: retas paralelas que nunca se intersectam → sistema impossível (SI), sem solução.";""
"3798";"multipla";"Química";"Bioquímica";"Vitaminas";"Fácil";"Vestibular";"2024";"A vitamina C (ácido ascórbico) é importante para:";"Síntese de colágeno e função antioxidante";"Coagulação do sangue";"Visão noturna";"Metabolismo do cálcio";"Síntese de hormônios sexuais";"a";"Vitamina C: participa da síntese de colágeno (essencial para pele, ossos, vasos), é antioxidante (combate radicais livres) e favorece a absorção de ferro. Sua deficiência causa escorbuto (hemorragias, queda dos dentes). Presente em frutas cítricas.";""
"3799";"multipla";"Biologia";"Ecologia";"Espécies Invasoras";"Médio";"Vestibular";"2024";"As espécies exóticas invasoras representam ameaça à biodiversidade porque:";"Competem com espécies nativas, alteram habitats e podem levar espécies nativas à extinção";"Sempre beneficiam os ecossistemas por aumentar a diversidade";"São idênticas às espécies nativas em comportamento";"Só afetam plantas, não animais";"São extintas rapidamente no novo ambiente";"a";"Espécies invasoras (ex.: javali europeu no Brasil, mexilhão-dourado, capim-gordura) competem por recursos com nativas, predam espécies locais, alteram habitats (como o capim que aumenta a frequência de incêndios) e introduzem patógenos. São a 2ª maior causa de extinção de espécies no mundo.";""
"3800";"multipla";"Geografia";"Geopolítica";"América Latina";"Médio";"Vestibular";"2024";"A expressão 'quintal dos EUA' refere-se à:";"Doutrina Monroe e à histórica influência e intervenção norte-americana na América Latina";"Parceria econômica entre Brasil e EUA";"Importação de tecnologia americana pela América Latina";"Zona de livre comércio no Caribe";"Aliança militar defensiva das Américas";"a";"A Doutrina Monroe (1823) — 'América para os americanos' — estabeleceu a América Latina como zona de influência dos EUA, justificando intervenções militares e políticas ao longo do séc. XX (Guatemala 1954, Cuba 1961, Chile 1973, Nicarágua 1980s). A expressão 'quintal dos EUA' critica essa dominação geopolítica.";""
"4521";"dissertativa";"Matemática";"Matemática Financeira";"Juros Compostos";"Médio";"Vestibular";"2024";"Um capital de R$ 2.000 é aplicado a juros compostos de 3% ao mês por 3 meses. Calcule o montante final.";"";"";"";"";"";"";"Juros compostos: M = C × (1 + i)^t = 2000 × (1,03)³. (1,03)³ = 1,03 × 1,03 × 1,03 = 1,0609 × 1,03 ≈ 1,0927. M = 2000 × 1,0927 ≈ R$ 2.185,45. Juros compostos geram mais que os simples (que dariam 2000 + 2000×0,03×3 = R$ 2.180).";"M ≈ R$ 2.185,45"
"4522";"dissertativa";"Física";"Termodinâmica";"Processos Termodinâmicos";"Difícil";"Vestibular";"2024";"Diferencie os processos isotérmico, isobárico, isocórico e adiabático, citando a variável constante em cada um.";"";"";"";"";"";"";"Processos termodinâmicos: (1) Isotérmico: temperatura constante (T = cte). PV = cte (lei de Boyle). (2) Isobárico: pressão constante (P = cte). V/T = cte (lei de Gay-Lussac/Charles). (3) Isocórico (isovolumétrivo): volume constante (V = cte). P/T = cte (lei de Gay-Lussac). (4) Adiabático: sem troca de calor com o exterior (Q = 0). A variação de energia interna é igual ao trabalho realizado: ΔU = −W.";"Isotérmico: T = cte; Isobárico: P = cte; Isocórico: V = cte; Adiabático: Q = 0"
"4523";"dissertativa";"Química";"Polímeros";"Borracha Sintética";"Médio";"Vestibular";"2024";"Por que o Brasil foi pioneiro na produção de borracha natural e quais os fatores que levaram à crise do ciclo da borracha amazônica?";"";"";"";"";"";"";"O Brasil dominava a produção mundial de borracha natural (látex da Hevea brasiliensis, exclusiva da Amazônia) no final do séc. XIX, abastecendo a revolução industrial. Manaus e Belém enriqueceram (Teatro Amazonas, 1896). A crise veio quando o inglês Henry Wickham contrabandeou sementes da seringueira para a Kew Gardens (1876); as mudas foram cultivadas na Malásia e Ceilão (hoje Sri Lanka), onde eram mais produtivas e organizadas em plantações. Em 1912, a produção asiática superou a brasileira, derrubando os preços. O golpe final veio com a borracha sintética (petroquímica) desenvolvida durante a 2ª GM.";"Pioneirismo: borracha amazônica abastecia o mundo. Crise: contrabando das sementes por Wickham, plantações asiáticas mais produtivas e depois borracha sintética"
"4524";"dissertativa";"Biologia";"Saúde";"Vacinação";"Fácil";"Vestibular";"2024";"Explique o mecanismo de ação das vacinas e o conceito de imunidade de rebanho.";"";"";"";"";"";"";"As vacinas funcionam introduzindo antígenos (patógenos mortos, atenuados, toxinas inativadas ou proteínas virais) que estimulam o sistema imune sem causar a doença. Os linfócitos B produzem anticorpos e células de memória. Numa infecção futura, o sistema imune reconhece o antígeno rapidamente e responde antes que a doença se instale. Imunidade de rebanho (coletiva): quando uma porcentagem suficiente da população está imunizada (vacinada ou recuperada), o patógeno não encontra hospedeiros suficientes para circular — protegendo também os não imunizados (imunossuprimidos, bebês, alérgicos a vacinas). O limiar varia por doença: sarampo exige ~95%; COVID-19 ~70-90%.";"Vacinas estimulam imunidade com memória sem causar doença. Imunidade de rebanho: população imunizada suficiente interrompe a cadeia de transmissão"
"4525";"dissertativa";"História";"Colonização";"Tratado de Tordesilhas";"Médio";"Vestibular";"2024";"Explique o Tratado de Tordesilhas (1494) e suas consequências para a formação territorial do Brasil.";"";"";"";"";"";"";"O Tratado de Tordesilhas (1494) dividiu o mundo entre Portugal e Espanha por uma linha imaginária a 370 léguas a oeste das ilhas de Cabo Verde. Terras a leste → Portugal; a oeste → Espanha. Consequências para o Brasil: a maior parte do Brasil ficou a leste da linha (território português). O marco legal justificou a colonização portuguesa a partir de 1500. Porém, o Brasil real expandiu muito além da linha de Tordesilhas devido às bandeiras, missões jesuítas e guerras — o Tratado de Madri (1750) e o Uti Possidetis consolidaram o território ampliado.";"Tordesilhas (1494): linha divisória leste-oeste atribuiu Brasil a Portugal. O território real expandiu com bandeiras e foi consolidado pelo Tratado de Madri (1750)"
"4526";"dissertativa";"Língua Portuguesa";"Redação";"Proposta de Intervenção";"Médio";"Vestibular";"2024";"No ENEM, a proposta de intervenção da redação deve conter cinco elementos. Quais são eles?";"";"";"";"";"";"";"A proposta de intervenção do ENEM deve ter: (1) Ação: o que fazer (verbo de ação + medida concreta); (2) Agente: quem vai executar (governo federal, municipal, ONGs, escola, mídia etc.); (3) Modo/meio: como será feito (por meio de campanhas, leis, políticas públicas, etc.); (4) Efeito/finalidade: para quê, qual o objetivo esperado; (5) Detalhamento: complemento que especifica a ação. Mnemônico: AAMED (Ação, Agente, Meio, Efeito, Detalhamento). A proposta deve ser relacionada ao tema e respeitar os direitos humanos.";"Ação, Agente, Modo/meio, Efeito e Detalhamento — os 5 elementos da proposta de intervenção do ENEM"
"4527";"dissertativa";"Filosofia";"Lógica";"Falácias";"Médio";"Vestibular";"2024";"O que são falácias lógicas? Explique dois tipos com exemplos.";"";"";"";"";"";"";"Falácias são argumentos que parecem válidos mas têm falhas lógicas. (1) Ad hominem: atacar o caráter do interlocutor em vez de refutar o argumento. Ex.: 'Não ouça sua proposta — ele é desonesto.' Erro: caráter pessoal não invalida um argumento; (2) Falsa dicotomia: apresentar apenas duas opções quando existem outras. Ex.: 'Ou você apoia esta guerra, ou é traidor da nação.' Outros exemplos: Apelo à autoridade indevida, Causa falsa (post hoc ergo propter hoc), Slippery slope, Generalização apressada.";"Falácias: argumentos com falhas lógicas. Ad hominem: atacar a pessoa; Falsa dicotomia: apresentar apenas duas opções quando há mais"
