"id";"tipo";"disc";"tema";"subtema";"dif";"fonte";"ano";"xp";"enunciado";"a";"b";"c";"d";"e";"ok";"exp"
"ENEM_2017_Q029";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2017";"15";"**TEXTO I** Fundamentam-se as regras da Gramática Normativa nas obras dos grandes escritores, em cuja linguagem as classes ilustradas põem o seu ideal de perfeição, porque nela é que se espelha o que o uso idiomático estabilizou e consagrou. LIMA, C. H. R. Gramática normativa da língua portuguesa, Rio de Janeiro José Olympio, 1989 **TEXTO II** Gosto de dizer. Direi melhor: gosto de palavrar. As palavras são para mim corpos tocáveis, sereias visíveis, sensualidades incorporadas. Talvez porque a sensualidade real não tem para mim interesse de nenhuma espécie – nem sequer mental ou de sonho -, transmudou-se-me o desejo para aquilo que em mim Cria ritmos Verbais, ou os escuta de Outros. Estremeço se dizem bem. Tal página de Fialho, tal página de Chateaubriand, fazem formigar toda a minha vida em todas as veias, fazem-me raivar tremulamente quieto de um prazer inatingível que estou tendo. Tal página, até, de Vieira, na sua fria perfeição de engenharia sintáctica, me faz tremer como um ramo ao vento, num delírio passivo de coisa movida. PESSOA, F. O livro do desassossego São Paulo Brasiliense, 1986";"Destaca o “como” se elabora a mensagem, Considerando-se a seleção, Combinação e sonoridade do texto.";"Coloca o foco no “Com o quê” se constrói a mensagem, sendo o código utilizado o seu próprio objeto.";"Focaliza o “quem” produz a mensagem, mostrando seu posicionamento e suas impressões pessoais.";"O orienta-se no “para quem” se dirige a mensagem, estimulando a mudança de seu comportamento.";"Enfatiza sobre “o quê” versa a mensagem, apresentada com palavras precisas e objetivas.";"b";"A resposta correta é a alternativa B. Coloca o foco no “Com o quê” se constrói a mensagem, sendo o código utilizado o seu próprio objeto."
"ENEM_2017_Q030";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Coesão e coerência";"Médio";"ENEM";"2017";"15";"**Contranarciso** em mim eu vejo o outro e outro e outro enfim dezenas trens passando vagões cheios de gente centenas o outro que há em mim é você você e você assim como eu estou em você eu estou nele em nós e só quando estamos em nós estamos em paz mesmo que estejamos a sós Leminsky P. Toda poesia. São Paulo: Cia. das Letras, 2013.";"Ausência de traços identitários.";"Angústia com a solidão em público.";"Valorização da descoberta do “eu” autêntico.";"Percepção da empatia como fator de autoconhecimento.";"Impossibilidade de vivenciar experiências de pertencimento.";"d";"A resposta correta é a alternativa D. Percepção da empatia como fator de autoconhecimento."
"ENEM_2017_Q031";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Modernismo";"Médio";"ENEM";"2017";"15";"No esporte-participação ou esporte popular, a manifestação ocorre no princípio do prazer lúdico, que tem como finalidade o bem-estar social dos seus praticantes. Está associado intimamente com o lazer e o tempo livre e ocorre em espaços não comprometidos com o tempo e fora das obrigações da vida diária. Tem como propósitos a descontração, a diversão, o desenvolvimento pessoal e o relacionamento com as pessoas. Pode-se afirmar que o esporte-participação, por ser a dimensão social do esporte mais inter-relacionada com os caminhos democráticos, equilibra o quadro de desigualdades de oportunidades esportivas encontrado na dimensão esporte-performance. Enquanto o esporte-performance só permite sucesso aos talentos ou àqueles que tiveram condições, o esporte-participação favorece o prazer a todos que dele desejarem tomar parte. GODTSFRIEDT, J. **Esporte e sua relação com a sociedade: uma síntese bibliográfica.** EFDeportes, n. 142, mar. 2010.";"Nos Jogos Olímpicos, uma vez que reúnem diversos países na disputa de diferentes modalidades esportivas.";"Nas competições de esportes individuais, uma vez que o sucesso de um indivíduo incentiva a participação dos demais.";"Nos campeonatos oficiais de futebol, regionais e nacionais, por se tratar de uma modalidade esportiva muito popular no país.";"Nas competições promovidas pelas federações e confederações, cujo objetivo é a formação e a descoberta de talentos.";"Nas modalidades esportivas adaptadas, cujo objetivo é o maior engajamento dos cidadãos.";"e";"A resposta correta é a alternativa E. Nas modalidades esportivas adaptadas, cujo objetivo é o maior engajamento dos cidadãos."
"ENEM_2017_Q032";"multipla";"História";"Interpretação e Produção de Texto";"Mídias digitais";"Médio";"ENEM";"2017";"15";"Segundo quadro Uma sala da prefeitura. O ambiente é modesto. Durante a mutação, ouve-se um dobrado e vivas a Odorico, “viva o prefeito” etc. Estão em cena Dorotéa, Juju, Dirceu, Dulcinéa, o vigário e Odorico. Este último, à janela, discursa. ODORICO – povo sucupirano! Agoramente já investido no cargo de Prefeito, aqui estou para receber a confirmação, a ratificação, a autenticação e por que não dizer a sagração do povo que me elegeu. Aplausos vêm de fora. ODORICO – eu prometi que meu primeiro ato como prefeito seria ordenar a construção do cemitério. Aplausos, aos quais se incorporam as personagens em cena. ODORICO – (continuando o discurso:) Botando de lado os entretantos e partindo pros finalmente, é uma alegria poder anunciar que prafrentemente vocês já poderão morrer descansados, tranquilos e desconstrangidos, na certeza de que vão ser sepultados aqui mesmo, nesta terra morna e cheirosa de Sucupira. E quem votou em mim, basta dizer isso ao padre na hora da extrema-unção, que tem enterro e cova de graça, conforme o prometido. GOMES, D. **O bem amado**, Rio de Janeiro, Ediouro, 2012";"Criticar satiricamente o comportamento de pessoas públicas.";"Denunciar a escassez de recursos públicos nas prefeituras do interior.";"Censurar a falta de domínio da língua padrão em eventos sociais.";"Despertar a preocupação da plateia com a expectativa de vida dos cidadãos.";"Questionar o apoio irrestrito de agentes públicos aos gestores governamentais.";"a";"A resposta correta é a alternativa A. Criticar satiricamente o comportamento de pessoas públicas."
"ENEM_2017_Q033";"multipla";"Português";"Interpretação e Produção de Texto";"Arte contemporânea";"Médio";"ENEM";"2017";"15";"João/Zero (Wagner Moura) é um cientista genial, mas infeliz porque há 20 anos atrás foi humilhado publicamente durante uma festa e perdeu Helena (Alinne Moraes), uma antiga e eterna paixão. Certo dia, uma experiência com um de seus inventos permite que ele faça uma viagem no tempo, retornando para aquela época e podendo interferir no seu destino. Mas quando ele retorna, descobre que sua vida mudou totalmente e agora precisa encontrar um jeito de mudar essa história, nem que para isso tenha que voltar novamente ao passado. Será que ele conseguirá acertar as coisas? Disponível em: http://adorocinema.com. Acesso em: 4 out. 2011.";"O emprego do verbo haver, em vez de ter, em “há 20 anos atrás foi humilhado”.";"A descrição dos fatos com verbos no presente do indicativo, como “retorna” e “descobre”.";"A repetição do emprego da conjunção “mas” para contrapor ideias.";"A finalização do texto com a frase de efeito """"Será que ele conseguirá acertar as coisas?"""".";"O uso do pronome de terceira pessoa “ele” ao longo do texto para fazer referência ao protagonista """"João/Zero"""".";"b";"A resposta correta é a alternativa B. A descrição dos fatos com verbos no presente do indicativo, como “retorna” e “descobre”."
"ENEM_2017_Q034";"multipla";"Espanhol";"Língua Estrangeira (Espanhol)";"Comprensión lectora";"Médio";"ENEM";"2017";"15";"![](https://enem.dev/2017/questions/34/e4b37290-3bc4-4ef6-b757-9065f855a1e6.png)";"As crianças frequentarem a escola regularmente.";"A formação leitora começar na infância.";"A alfabetização acontecer na idade certa.";"A literatura ter o seu mercado consumidor ampliado.";"As escolas desenvolverem campanhas a favor da leitura.";"b";"A resposta correta é a alternativa B. A formação leitora começar na infância."
"ENEM_2017_Q035";"multipla";"Literatura";"Literatura Brasileira";"Análise sintática";"Médio";"ENEM";"2017";"15";"**Aí pelas três da tarde** Nesta sala atulhada de mesas, máquinas e papéis, onde invejáveis escreventes dividiram entre si o bom senso do mundo, aplicando-se em ideias claras apesar do ruído e do mormaço, seguros ao se pronunciarem sobre problemas que afligem o homem moderno (espécie da qual você, milenarmente cansado, talvez se sinta um tanto excluído), largue tudo de repente sob os olhares a sua volta, componha uma cara de louco quieto e perigoso, faça os gestos mais calmos quanto os tais escribas mais severos, dê um largo “ciao” ao trabalho do dia, assim como quem se despede da vida, e surpreenda pouco mais tarde, com sua presença em hora tão insólita, os que estiveram em casa ocupados na limpeza dos armários, que você não sabia antes como era conduzida. Convém não responder aos olhares interrogativos, deixando crescer, por instantes, a intensa expectativa que se instala. Mas não exagere na medida e suba sem demora ao quarto, libertando aí os pés das meias e dos sapatos, tirando a roupa do corpo como se retirasse a importância das coisas, pondo-se enfim em vestes mínimas, quem sabe até em pelo, mas sem ferir o decoro (o seu decoro, está claro), e aceitando ao mesmo tempo, como boa verdade provisória, toda mudança de comportamento. NASSAR, R. **Menina a caminho**. São Paulo: Cia. das Letras, 1997.";"Prescrição de comportamentos, como em: “[...] largue tudo de repente sob os olhares a sua volta [...]”.";"Apresentação de contraposição, como em: “Mas não exagere na medida e suba sem demora ao quarto [...]”.";"Explicitação do interlocutor, como em: “[...] (espécie da qual você, milenarmente cansado, talvez se sinta um tanto excluído) [...]”.";"Descrição do espaço, como em: “Nesta sala atulhada de mesas, máquinas e papéis, onde invejáveis escreventes dividiram entre si o bom-senso do mundo [...]”.";"Construção de comparações, como em: “[...] libertando aí os pés das meias e dos sapatos, tirando a roupa do corpo como se retirasse a importância das coisas [...]”.";"c";"A resposta correta é a alternativa C. Explicitação do interlocutor, como em: “[...] (espécie da qual você, milenarmente cansado, talvez se sinta um tanto excluído) [...]”."
"ENEM_2017_Q036";"multipla";"Inglês";"Língua Estrangeira (Inglês)";"Arte contemporânea";"Médio";"ENEM";"2017";"15";"![](https://enem.dev/2017/questions/36/1cdf0e43-8744-480a-9e9c-1a408d15b0cf.png)";"Simplificação de formas da paisagem brasileira.";"Valorização de símbolos do processo de urbanização.";"Fusão de elementos da cultura brasileira com a arte europeia.";"Alusão aos símbolos cívicos presentes na bandeira nacional";"Composição simétrica de elementos relativos à miscigenação racial.";"c";"A resposta correta é a alternativa C. Fusão de elementos da cultura brasileira com a arte europeia."
"ENEM_2017_Q037";"multipla";"Literatura";"Literatura Brasileira";"Romantismo";"Médio";"ENEM";"2017";"15";"![](https://enem.dev/2017/questions/37/4d4a90d7-9743-432c-8710-dacb137ea2d5.png)";"Participação do público na interação lúdica com a obra.";"Distribuição de obstáculos no espaço da exposição.";"Representação simbólica de objetos oníricos.";"Interpretação subjetiva da lei da gravidade";"Valorização de técnicas de artesanato.";"a";"A resposta correta é a alternativa A. Participação do público na interação lúdica com a obra."
"ENEM_2017_Q038";"multipla";"Português";"Comunicação e Tecnologia";"Coesão e coerência";"Médio";"ENEM";"2017";"15";"Naquela manhã de céu limpo e ar leve, devido à chuva torrencial da noite anterior, saí a caminhar com o sol ainda escondido para tomar tenência dos primeiros movimentos da vida na roça. Num demorou nem um tiquinho e o cheiro intenso do café passado por Dona Linda me invadiu as narinas e fez a fome se acordar daquela rema letárgica derivada da longa noite de sono. Levei as mãos até a água que corria pela bica feita de bambu e o contato gelado foi de arrepiar. Mas fui em frente e levei as mãos em concha até o rosto. Com o impacto, recuei e me faltou o fôlego por alguns instantes, mas o despertar foi imediato. Já aceso, entrei na cozinha na buscação de derrubar a fome e me acercar do aconchego do calor do fogão à lenha. Foi quando dei reparo da figura esguia e discreta de uma senhora acompanhada de um garoto aparentando uns cinco anos de idade já aboletada na ponta da mesa em proseio íntimo com a dona da casa. Depois de um vigoroso “Bom dia!”, de um vaporoso aperto de mãos nas apresentações de praxe, fiquei sabendo que Dona Flor de Maio levava o filho Adão para tratamento das feridas que pipocavam por seu corpo, provocando pequenas pústulas de bordas avermelhadas. GUIÂO, M. Disponível em: www.revistaecologico.com.br. Acesso em: 10 mar. 2014 (adaptado)";"Localização dos eventos de fala no tempo ficcional";"Composição da verossimilhança do ambiente retratado.";"Restrição do papel do narrador à observação das cenas relatadas.";"Construção mística das personagens femininas pelo autor do texto.";"Caracterização das preferências linguísticas da personagem masculina.";"b";"A resposta correta é a alternativa B. Composição da verossimilhança do ambiente retratado."
