"id";"tipo";"disciplina";"tema";"subtema";"dificuldade";"fonte";"ano";"enunciado";"alternativa_a";"alternativa_b";"alternativa_c";"alternativa_d";"alternativa_e";"resposta_correta";"explicacao";"resposta"
"3701";"multipla";"Matemática";"Inequações";"Inequação do 1º Grau";"Fácil";"Vestibular";"2024";"Resolva a inequação 2x − 4 > 0.";"x > 2";"x < 2";"x > 4";"x < 4";"x ≥ 2";"a";"2x − 4 > 0 → 2x > 4 → x > 2. O conjunto solução é ]2, +∞[.";""
"3702";"multipla";"Física";"Mecânica";"Energia Potencial Elástica";"Médio";"Vestibular";"2024";"A energia potencial elástica armazenada em uma mola com constante k = 200 N/m comprimida x = 0,1 m é:";"1 J";"20 J";"2 J";"0,1 J";"10 J";"a";"Ep = kx²/2 = 200 × (0,1)²/2 = 200 × 0,01/2 = 2/2 = 1 J.";""
"3703";"multipla";"Química";"Petroquímica";"Refino do Petróleo";"Médio";"Vestibular";"2024";"A destilação fracionada do petróleo separa seus componentes com base na diferença de:";"Pontos de ebulição";"Solubilidade em água";"Densidade";"Massa molar";"Eletronegatividade";"a";"Na destilação fracionada, o petróleo é aquecido e seus componentes se separam conforme seus pontos de ebulição: gases (GLP) saem primeiro; nafta, querosene, diesel e asfalto saem em temperaturas crescentes.";""
"3704";"multipla";"Biologia";"Zoologia";"Cnidários";"Fácil";"Vestibular";"2024";"As águas-vivas e corais pertencem ao filo Cnidaria. Qual estrutura é característica desse grupo?";"Cnidócitos (células urticantes com nematocistos)";"Exoesqueleto quitinoso";"Sistema nervoso centralizado";"Celoma verdadeiro";"Notocorda";"a";"Cnidários possuem cnidócitos — células especializadas na captura de presas e defesa, que contêm nematocistos (cápsulas com filamento urticante). São animais diblásticos (2 folhetos embrionários) com simetria radial.";""
"3705";"multipla";"História";"Brasil República";"República Velha";"Médio";"Vestibular";"2024";"A política do 'café com leite' na República Velha (1889-1930) referia-se ao revezamento no poder entre:";"São Paulo (café) e Minas Gerais (leite)";"Rio de Janeiro e São Paulo";"Bahia e Minas Gerais";"São Paulo e Rio Grande do Sul";"Pernambuco e São Paulo";"a";"A política do 'café com leite' foi o acordo de alternância de poder entre as oligarquias de São Paulo (produtores de café) e Minas Gerais (produtores de leite), que dominaram a presidência da República Velha.";""
"3706";"multipla";"Geografia";"Cartografia";"Escalas";"Médio";"Vestibular";"2024";"Em um mapa com escala 1:100.000, uma distância de 5 cm no mapa corresponde a quantos km na realidade?";"5 km";"50 km";"500 m";"0,5 km";"50 m";"a";"Escala 1:100.000 → 1 cm no mapa = 100.000 cm = 1 km na realidade. Logo, 5 cm = 5 km.";""
"3707";"multipla";"Língua Portuguesa";"Literatura Brasileira";"Quinhentismo";"Médio";"Vestibular";"2024";"A 'Carta de Pero Vaz de Caminha' (1500) é considerada o primeiro documento literário do Brasil. Qual é seu gênero textual?";"Carta (relato epistolar de descoberta)";"Poema épico";"Romance de cavalaria";"Crônica medieval";"Auto teatral";"a";"A carta de Caminha é um relato epistolar dirigido ao rei D. Manuel I de Portugal, descrevendo a terra e o povo encontrados. É o documento fundador da literatura brasileira, pertencente ao Quinhentismo (literatura de informação).";""
"3708";"multipla";"Filosofia";"Filosofia Antiga";"Sócrates";"Médio";"Vestibular";"2024";"O método socrático de busca do conhecimento por meio de perguntas e respostas é chamado de:";"Maiêutica (parto das ideias) e ironia socrática";"Indução científica";"Silogismo dedutivo";"Método cartesiano";"Dialética hegeliana";"a";"Sócrates usava a ironia (fingir ignorância para fazer o interlocutor revelar contradições) e a maiêutica ('arte de pagar', como a mãe parteira) para ajudar o interlocutor a 'parir' o conhecimento que já estava em si. Base: 'Só sei que nada sei.'";""
"3709";"multipla";"Sociologia";"Raça e Etnicidade";"Racismo Estrutural";"Médio";"Vestibular";"2024";"O conceito de racismo estrutural, desenvolvido por Silvio Almeida, refere-se a:";"O racismo inserido nas instituições, leis e práticas sociais, não apenas em atos individuais";"Atos isolados de preconceito racial entre indivíduos";"Discriminação baseada apenas em aspectos culturais";"A superação do racismo por meio de cotas";"A biologia como determinante das desigualdades raciais";"a";"Para Silvio Almeida ('Racismo Estrutural', 2018), o racismo não é apenas um fenômeno interpessoal ou institucional isolado, mas está inscrito na estrutura econômica, política e social da sociedade — reproduzindo desigualdades raciais de forma sistemática e normalizada.";""
"3710";"multipla";"Matemática";"Funções";"Domínio e Imagem";"Médio";"Vestibular";"2024";"Qual é o domínio da função f(x) = √(x − 3)?";"x ≥ 3 (domínio: [3, +∞[)";"x > 3";"x ∈ ℝ";"x ≤ 3";"x > 0";"a";"Para que a raiz quadrada seja real, o radicando deve ser ≥ 0: x − 3 ≥ 0 → x ≥ 3. Domínio: [3, +∞[.";""
